,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
14,4/3/2022,CALIFORNIA,SAN FRANCISCO,"PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS INCIDENT/1410P/NORCAL TRACON ADVISED, B38M, SAV - MDW, REPORTED A BLACK UAS OF UNSPECIFIED SIZE AT 3,700 FEET WHILE NW BOUND 4 NE SFO. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 EC/MK",,SAV,NW BOUND,1410P,NORCAL TRACON,SAV - MDW,4 NE SFO,"AT 3,700 FEET",KSAV,large_airport,Savannah Hilton Head International Airport,50.0,,US,US-GA,Savannah,KSAV,SAV,KSAV,SAV,"32.127602, -81.202103"
15,4/3/2022,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1414P/SEATTLE TRACON ADVISED, E75L, SEA - ONT, REPORTED A BLACK UAS AT 3,500 FEET WHILE SE BOUND 4 SE SEA. NO EVASIVE ACTION REORTED. PORT OF SEATTLE PD NOTIFIED AT 911. WOC 7-3333 EC/MK",,ONT,SE BOUND,1414P,SEATTLE TRACON,SEA - ONT,4 SE SEA,"AT 3,500 FEET",KONT,large_airport,Ontario International Airport,944.0,,US,US-CA,Ontario,KONT,ONT,KONT,ONT,"34.056, -117.600998"
16,4/3/2022,CALIFORNIA,SAN FRANCISCO,"PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS INCIDENT/1430P/SAN FRANCISCO ATCT ADVISED, A321, TORONTO, CANADA (CYYZ) - SFO, OBSERVED A RED UAS WHILE NW BOUND AT 1,800 FEET 5.5 E SFO. NO EVASIVE ACTION WAS TAKEN. SFO AIRPORT PD NOTIFIED. WOC 7-3333 EF/RL",,SFO,NW BOUND,1430P,SAN FRANCISCO ATCT,"TORONTO, CANADA (CYYZ) - SFO",,"AT 1,800 FEET",KSFO,large_airport,San Francisco International Airport,13.0,,US,US-CA,San Francisco,KSFO,SFO,KSFO,SFO,"37.619806, -122.374821"
17,4/4/2022,LOUISIANA,NEW ORLEANS,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS INCIDENT/1125C/NEW ORLEANS APCH ADVISED, CESSNA C56X, AGS - MSY, REPORTED A UAS FROM THE RIGHT SIDE WHILE SE BOUND AT 1,600 FEET 5 WNW MSY. NO EVASIVE ACTION TAKEN. ST CHARLES PARISH SHERIFF NOTIFIED. WOC 7-3333 RC/MK",,AGS,SE BOUND,1125C,NEW ORLEANS APCH,AGS - MSY,5 WNW MSY,"AT 1,600 FEET",KAGS,medium_airport,Augusta Regional At Bush Field,144.0,,US,US-GA,Augusta,KAGS,AGS,KAGS,AGS,"33.3699, -81.9645"
18,4/4/2022,CALIFORNIA,LONG BEACH,"PRELIM INFO FROM FAA OPS: LONG BEACH, CA/UAS INCIDENT/1305P/LONG BEACH ATCT ADVISED, CESSNA C172, LGB - LGB, REPORTED A BLACK/YELLOW UAS WHILE W BOUND AT 800 FEET 2 E LGB. NO EVASIVE ACTION TAKEN. LONG BEACH PD NOTIFIED. WOC 7-3333 RC/MK",,LGB,W BOUND,1305P,LONG BEACH ATCT,LGB - LGB,2 E LGB,AT 800 FEET,KLGB,medium_airport,Long Beach Airport (Daugherty Field),60.0,,US,US-CA,Long Beach,KLGB,LGB,KLGB,LGB,"33.816523, -118.149891"
19,4/4/2022,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/1334M/PHOENIX TRACON ADVISED, CRJ9, CALGARY, CANADA (CYYC) - PHX, REPORTED A GREEN UAS FROM THE 3 O'CLOCK WHILE E BOUND AT 7,000 FEET 7 WSW PHOENIX VOR. NO EVASIVE ACTION TAKEN. PHOENIX ARPT PD NOTIFIED. WOC 7-3333 RC/MK",,PHX,E BOUND,1334M,PHOENIX TRACON,"CALGARY, CANADA (CYYC) - PHX",7 WSW PHOENIX VOR,"AT 7,000 FEET",KPHX,large_airport,Phoenix Sky Harbor International Airport,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,KPHX,PHX,"33.435302, -112.005905"
20,4/4/2022,CALIFORNIA,SAN DIEGO,"PRELIM INFO FROM FAA OPS: SAN DIEGO, CA/UAS INCIDENT/1640P/SAN DIEGO ATCT ADVISED, B737, OAK - SAN, OBSERVED A WHITE UAS OFF THE LEFT SIDE WHILE W BOUND AT 400 FEET .5 E SAN. NO EVASIVE ACTION WAS TAKEN. SAN DIEGO AIRPORT PD NOTIFIED. WOC 7-3333 EF/RL",,SAN,W BOUND,1640P,SAN DIEGO ATCT,OAK - SAN,,AT 400 FEET,KSAN,large_airport,San Diego International Airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441"
21,4/5/2022,FLORIDA,TAMPA,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS INCIDENT/1410E/TAMPA ATCT ADVISED, E170, BNA - TPA, REPORTED A QUAD-COPTER UAS AT THE 3 O'CLOCK POSITION WHILE S BOUND AT 2,000 FEET NO EVASIVE ACTION TAKEN. FBI NOTIFIED. WOC 7-3333 HM/JO",,TPA,S BOUND,1410E,TAMPA ATCT,BNA - TPA,,"AT 2,000 FEET",KTPA,large_airport,Tampa International Airport,26.0,,US,US-FL,Tampa,KTPA,TPA,KTPA,TPA,"27.9755, -82.533203"
22,4/5/2022,PENNSYLVANIA,PHILADELPHIA,"PRELIM INFO FROM FAA OPS: PHILADELPHIA, PA/UAS INCIDENT/1715E/PHILADELPHIA APCH ADVISED, CRJ9, JAX - PHL, REPORTED AN ORANGE UAS OFF THE RIGHT SIDE WHILE S BOUND AT 4,000 FEET 6 NW PHL. NO EVASIVE ACTION TAKEN. AIRPORT PD NOTIFIED. WOC 7-3333 JO/JW",,OFF,S BOUND,1715E,PHILADELPHIA APCH,JAX - PHL,6 NW PHL,"AT 4,000 FEET",KOFF,medium_airport,Offutt Air Force Base,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851"
23,4/5/2022,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1555P/LOS ANGELES ATCT ADVISED, B738, AUS - LAX, REPORTED UAS ON LEFT SIDE AT 1,800 FEET WHILE WSW BOUND 6 ENE LAX. NO EVASIVE ACTION TAKEN. LAX ARPT PD NOTIFIED. WOC 7-3333 RL/SY",,AUS,WSW BOUND,1555P,LOS ANGELES ATCT,AUS - LAX,6 ENE LAX,"AT 1,800 FEET",KAUS,large_airport,Austin Bergstrom International Airport,542.0,,US,US-TX,Austin,KAUS,AUS,KAUS,AUS,"30.197535, -97.662015"
24,4/6/2022,OREGON,PORTLAND,"PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS INCIDENT/0845P/PORTLAND TRACON ADVISED, ATR AT72, PDX - MFR, REPORTED A UAS FROM THE 1 O'CLOCK POSITION WHILE S BOUND AT 8,000 FEET 10 SW PDX. NO EVASIVE ACTION TAKEN. PORT OF PORTLAND PD NOTIFIED. WOC 7-3333 JF/JO",,MFR,S BOUND,0845P,PORTLAND TRACON,PDX - MFR,10 SW PDX,"AT 8,000 FEET",KMFR,medium_airport,Rogue Valley International Medford Airport,1335.0,,US,US-OR,Medford,KMFR,MFR,KMFR,MFR,"42.37419891357422, -122.87300109863281"
25,4/6/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1215E/MIAMI TRACON ADVISED, CESSNA C560,  TMB - TORONTO, CANADA (CYYZ), REPORTED A UAS OFF THE LEFT SIDE WHILE W BOUND AT 3,000 FEET 6 W TMB. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED. WOC 7-3333 JO/HM",,OFF,W BOUND,1215E,MIAMI TRACON," TMB - TORONTO, CANADA (CYYZ)",6 W TMB,"AT 3,000 FEET",KOFF,medium_airport,Offutt Air Force Base,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851"
26,4/6/2022,UTAH,SALT LAKE CITY,"PRELIM INFO FROM FAA OPS: SALT LAKE CITY, UT/UAS INCIDENT/1023M/SLC ATCT ADVISE, BCS1, SNA - SLC, REPORTED A WHITE QUAD-COPTER UAS 200 FEET BELOW AND OFF THE RIGHT SIDE OF THE ACFT, WHILE N BOUND AT 5,200 FEET 3 MILE FINAL RUNWAY 35. NO EVASIVE ACTION TAKEN. SLC ARPT PD NOTIFIED. WOC 7-3333 HM/JO",,SNA,N BOUND,1023M,,SNA - SLC,,"AT 5,200 FEET",KSNA,large_airport,John Wayne Orange County International Airport,56.0,,US,US-CA,Santa Ana,KSNA,SNA,KSNA,SNA,"33.675701, -117.867996"
27,4/6/2022,NORTH CAROLINA,GOLDSBORO,"PRELIM INFO FROM FAA OPS: GOLDSBORO, NC/UAS INCIDENT/1450E/GOLDSBORO ATCT ADVISED, B762, GSB - GSB, REPORTED A BLACK QUADCOPTER UAS 2,000 FEET BELOW ACFT WHILE SW BOUND AT 3,000 FEET 2 NE GSB. NO EVAISVE ACTION TAKEN. GSB ARPT PD NOTIFIED. WOC 7-3333 JO/HM",,GSB,SW BOUND,1450E,GOLDSBORO ATCT,GSB - GSB,2 NE GSB,"AT 3,000 FEET",KGSB,medium_airport,Seymour Johnson Air Force Base,109.0,,US,US-NC,Goldsboro,KGSB,GSB,KGSB,GSB,"35.339401, -77.960602"
28,4/6/2022,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/1620E/JF KENNEDY ATCT ADVISED, B752, SLC - JFK, REPORTED A QUAD-COPTER UAS WHILE N BOUND AT 300 FEET SHORT FINAL RUNWAY 4R. NO EVASIVE ACTION TAKEN. NEW YORK PORT AUTHORITY NOTIFIED. WOC 7-3333 HM/JO",,SLC,N BOUND,1620E,JF KENNEDY ATCT,SLC - JFK,,AT 300 FEET,KSLC,large_airport,Salt Lake City International Airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866"
29,4/6/2022,FLORIDA,DAYTONA BEACH,"PRELIM INFO FROM FAA OPS: DAYTONA BEACH, FL/UAS INCIDENT/1851E/DAYTONA BEACH ATCT ADVISED, CESSNA C172, DAB - DAB, REPORTED A WHITE UAS WHILE N BOUND AT 2,800 FEET 3 SE DAB. ACFT TURNED RIGHT TO AVOID UAS. VOLUSIA COUNTY SHERIFF NOTIFIED. WOC 7-3333 TB/SY",,DAB,N BOUND,1851E,DAYTONA BEACH ATCT,DAB - DAB,3 SE DAB,"AT 2,800 FEET",KDAB,medium_airport,Daytona Beach International Airport,34.0,,US,US-FL,Daytona Beach,KDAB,DAB,KDAB,DAB,"29.179899, -81.058098"
30,4/7/2022,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/1418C/NASHVILLE ATCT ADVISED, CESSNA C680, APF - BNA, OBSERVED A RED AND SILVER UAS WHILE NORTHWEST BOUND AT 10,500 FEET 22 SE NASHVILLE. NO EVASIVE ACTION. RUTHERFORD COUNTY SHERIFF NOTIFIED. WOC 7-3333 GG/JF",,APF,NORTHWEST BOUND,1418C,NASHVILLE ATCT,APF - BNA,22 SE NASHVILLE,"AT 10,500 FEET",KAPF,medium_airport,Naples Municipal Airport,8.0,,US,US-FL,Naples,KAPF,APF,KAPF,APF,"26.1525993347, -81.7752990723"
31,4/8/2022,NORTH CAROLINA,COFIELD,"PRELIM INFO FROM FAA OPS: COFIELD, NC/UAS INCIDENT/1141E/NORFOLK APCH ADVISED , A320, ATL - ORF, REPORTED A RED AND BLACK UAS OFF THE RIGHT SIDE 300 FEET ABOVE ACFT WHILE NE BOUND AT 14,000 FEET OVER COFIELD VORTAC (CVI). NO EVASIVE ACTION TAKEN. AHOSKIE PD NOTIFIED. WOC 7-3333 JO/RC",,ORF,NE BOUND,1141E,NORFOLK APCH,ATL - ORF,,"AT 14,000 FEET",KORF,large_airport,Norfolk International Airport,26.0,,US,US-VA,Norfolk,KORF,ORF,KORF,ORF,"36.895341, -76.201"
32,4/8/2022,NEW JERSEY,ATLANTIC CITY,"PRELIM INFO FROM FAA OPS: ATLANTIC CITY, NJ/UAS INCIDENT/1230E/ATLANTIC CITY ATCT, REPORTED THE AIR NATIONAL GUARD DETECTION SYSTEM DETECTED A UAS 2 NE ACY. GALLOWAY TOWNSHIP PD NOTIFIED. WOC 7-3333 JO/EC",,ACY,,1230E,,,2 NE ACY,,KACY,medium_airport,Atlantic City International Airport,75.0,,US,US-NJ,Atlantic City,KACY,ACY,KACY,ACY,"39.45759963989258, -74.57720184326172"
33,4/8/2022,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1314E/ORLANDO APCH ADVISED, A319, BDL - MCO, REPORTED A SILVER UAS 700 FEET BELOW THE 12 O'CLOCK POSITION WHILE S BOUND AT 7,000 FEET 5 ENE MCO. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED. WOC 7-3333 RC/JO",,MCO,S BOUND,1314E,ORLANDO APCH,BDL - MCO,5 ENE MCO,"AT 7,000 FEET",KMCO,large_airport,Orlando International Airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016"
34,4/8/2022,IOWA,CEDAR RAPIDS,"PRELIM INFO FROM FAA OPS: CEDAR RAPIDS, IA/UAS INCIDENT/1400C/CEDAR RAPIDS APCH ADVISED, CRJ2, MSP - CID, REPORTED A WHITE QUADCOPTER UAS AT THE 12 O'CLOCK POSITION WHILE SE BOUND AT 2,000 FEET 7 SE CID. NO EVASIVE ACTION TAKEN. JOHNSON CITY PD NOTIFIED. WOC 7-3333 JO/RC",,CID,SE BOUND,1400C,CEDAR RAPIDS APCH,MSP - CID,7 SE CID,"AT 2,000 FEET",KCID,medium_airport,The Eastern Iowa Airport,869.0,,US,US-IA,Cedar Rapids,KCID,CID,KCID,CID,"41.884701, -91.7108"
35,4/8/2022,SOUTH DAKOTA,SIOUX FALLS,"SIOUX FALLS, SD (FSD): FSD TOWER REPORTED A DRONE HALF MILE SOUTHEAST OF AIRPORT HOVERING AT 200 AGL OVER THE STATE PRISON. TSA CONTACTED AND INVESTIGATED. 04/08/2022 1933Z",,AND,,,,,,,KAND,medium_airport,Anderson Regional Airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001"
36,4/8/2022,CALIFORNIA,FRESNO,"PRELIM INFO FROM FAA OPS: FRESNO, CA/UAS INCIDENT/1342P/FRESNO APCH ADVISED, A320, FAT - DEN, REPORTED A UAS 500 FEET BELOW ACFT WHILE N BOUND AT 5,000 FEET 4 N FAT. NO EVASIVE ACTION TAKEN. CLOVIS PD NOTIFIED. WOC 7-3333 JO/RC",,DEN,N BOUND,1342P,FRESNO APCH,FAT - DEN,4 N FAT,"AT 5,000 FEET",KDEN,large_airport,Denver International Airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521"
37,4/9/2022,CALIFORNIA,SAN JOSE,"PRELIM INFO FROM FAA OPS: SAN JOSE, CA/UAS INCIDENT/1040P/SAN JOSE ATCT ADVISED, E75L, LAX - SJC, REPORTED  A WHITE DJI PHANTOM QUADCOPTER AT 1,200 FEET WHILE ON 3 MILE FINAL. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION REPORTED. WOC 7-3333 EC/MK",,SJC,,1040P,SAN JOSE ATCT,LAX - SJC,,"AT 1,200 FEET",KSJC,large_airport,Norman Y. Mineta San Jose International Airport,62.0,,US,US-CA,San Jose,KSJC,SJC,KSJC,SJC,"37.362452, -121.929188"
38,4/9/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1445E/MIAMI EXECUTIVE ATCT ADVISED, PIPER PA34, REPORTED A RED AND WHITE UAS  AND A BLUE RADIO CONTROLLED HELICOPTER 4 SW TMB.  CLOSEST  PROXIMITY TO REMOTE CONTROLLED HELO WAS 50 FEET. NO EVASIVE ACTION REPORTED. MIAMI-DADE PD WAS NOTIFIED. NO PHONE NUMBER WAS PROVIDED . WOC 7-3333 EC/MK",,TMB,,1445E,MIAMI EXECUTIVE ATCT,,4 SW TMB,,KTMB,medium_airport,Miami Executive Airport,8.0,,US,US-FL,Miami,KTMB,TMB,KTMB,TMB,"25.6479, -80.4328"
39,4/9/2022,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/1355C/D10 TRACON ADVISED, PIPER PA28, REPORTED A UAS OFF THE DEPARTURE END OF RWY16. NO EVASIVE ACTION REPORTED. NO DESCRIPTION AVAILABLE. DFW DPS NOTIFIED. WOC 7-3333 MK/EC",,END,,1355C,,,,,KEND,medium_airport,Vance Air Force Base,1307.0,,US,US-OK,Enid,KEND,END,KEND,END,"36.339199, -97.916496"
40,4/9/2022,NORTH CAROLINA,CHARLOTTE,"PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS INCIDENT/1627E/CHARLOTTE ATCT ADVISED, CRJ9, REPORTED A UAS OF UNSPECIFIED SIZE AND COLOR AT 4,000 FEET ON RIGHT SIDE OF AIRCRAFT WHILE NW BOUND 12 SE CLT. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION WAS NOT REPORTED. WOC 7-3333 EC/MK",,AND,NW BOUND,1627E,CHARLOTTE ATCT,,12 SE CLT,"AT 4,000 FEET",KAND,medium_airport,Anderson Regional Airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001"
41,4/9/2022,TEXAS,SAN ANTONIO,"PRELIM INFO FROM FAA OPS: SAN ANTONIO, TX/UAS INCIDENT/1701C/SAN ANTONIO TRACON ADVISED, BEECH BE40, HOU - SAT, REPORTED A BLUE UAS FROM THE 9 O'CLOCK POSITION WHILE SW BOUND AT 2,500 FEET 4 SSW SAT. NO EVASIVE ACTION REPORTED. SAN ANTONIO PD NOTIFIED. WOC 7-3333 JG/ER",,HOU,SW BOUND,1701C,SAN ANTONIO TRACON,HOU - SAT,4 SSW SAT,"AT 2,500 FEET",KHOU,medium_airport,William P Hobby Airport,46.0,,US,US-TX,Houston,KHOU,HOU,KHOU,HOU,"29.645399, -95.2789"
