date_of_sighting,state,city,summary,faa_code,Facility Type,latitude,longitude,Facility Name,Direction,Time,Authority Advised,Route,Location,Altitude
2020-05-31,OKLAHOMA,TULSA,"PRELIM INFO FROM FAA OPS: TULSA, OK/UAS INCIDENT/1905C/TULSA APPROACH ADVISED HELICOPTER, OBSERVED A UAS WITHIN 100 FEET WHILE ORBITING ABOVE DOWNTOWN TULSA AT 1,400 FEET. NO EVASIVE ACTION REPORTED. TULSA PD NOTIFIED.",OK93,AIRPORT,36.3334266666667,-95.8836013888889,AIRMAN ACRES,,1905C,TULSA APPROACH,,100 FEET WHILE ORBITING ABOVE DOWNTOWN TULSA,
2020-06-16,ARIZONA,MESA,"PRELIM INFO FROM FAA OPS: MESA, AZ/UAS INCIDENT/LATE REPORT 6-16 1800M/SOUTHWEST COORDINATION CENTER REPORTED A WHITE UAS ORBITING AT APPROXIMATELY 3,500 FEET 10 NE MESA. IMPACT TO FIRE FIGHTING NOTAM FDC 0/0286. HELO OPERATIONS SUSPENDED FOR UNKN TIME. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",0TS3,HELIPORT,29.8174497222222,-95.6632794444445,HOUSTON,,1800M,,,10 NE MESA,
2020-06-17,MINNESOTA,GRANITE FALLS,"PRELIM INFO FROM FAA OPS: GRANITE FALLS, MN/UAS INCIDENT/2000C/C-ROC ADVISED CESSNA C172, REPORTED A 24 INCH WHITE STATIONARY UAS AT 3,500 FEET 13 W GRANITE FALLS. EVASIVE ACTION WAS NOT REPORTED. LEO NOTIFICATION NOT REPORTED.",,,44.8099575,-95.5455752,,,2000C,,,24 INCH WHITE STATIONARY UAS,"AT 3,500 FEET"
2020-06-20,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS INCIDENT/1405E/FORT LAUDERDALE ATCT REPORTED A UAS VCNTY RUNWAY 10L. NO EVASIVE ACTION TAKEN BY ACFT ON APCH. BROWARD COUNTY SHERIFF NOTIFIED.",AL72,HELIPORT,34.7548333333333,-86.67725,MADISON COUNTY 911 CALL CENTER,,1405E,,,VCNTY RUNWAY,
2020-06-24,CALIFORNIA,LIVERMORE,"PRELIM INFO FROM FAA OPS: LIVERMORE, CA/UAS INCIDENT/1130P/CIRRUS SR22, REPORTED A WHITE UAS AT 3 O'CLOCK POSITION AT SAME ALTITUDE OF 1,000 FEET 1 W LIVERMORE. EVASIVE ACTION NOT REPORTED. LIVERMORE PD NOTIFIED.",,,37.6820583,-121.768053,,,1130P,,,1 W LIVERMORE. EVASIVE ACTION NOT REPORTED. LIVERMORE PD NOTIFIED,
2020-06-29,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/2145P/SOCAL ADVISED GULFSTREAM  REPORTED A UAS WITH A BRIGHT ORANGE LIGHT TRAVELING FAST PAST THE ACFT. NO ADDITIONAL INFORMATION REPORTED. LAPD NOTIFIED.",0CL4,AIRPORT,34.1571916666667,-118.254611111111,700 NORTH BRAND,,2145P,SOCAL,,,
2022-01-08,PENNSYLVANIA,ERIE,"PRELIM INFO FROM FAA OPS: ERIE, PA/UAS INCIDENT/1827E/BUFFALO APCH ADVISED , BELL B429, REPORTED UAS HOVERING ABOVE ACFT WHILE ON HAMIT HOSPITAL HELIPAD 13 ENE ERIE. NO IMPACT TO OPERATIONS. ERIE PD NOTIFIED.",8G2,AIRPORT,41.9075555555556,-79.6410555555556,CORRY-LAWRENCE,,1827E,BUFFALO APCH,,13 ENE ERIE. NO IMPACT TO OPERATIONS. ERIE PD NOTIFIED,
2022-02-10,KANSAS,WICHITA,"PRELIM INFO FROM FAA OPS: WICHITA, KS/UAS INCIDENT/1610C/WICHITA APPROACH ADVISED WICHITA PD REPORTED A UAS AT 300 FEET 4.6 N WICHITA ARPT. THERE WAS A SHOOTING IN THE AREA WITH POLICE ACTIVE. NO ACFT INVOLVEMENT. WICHITA PD.",3K7,SEAPLANE BASE,38.4575263888889,-101.350864722222,MARK HOARD MEML,,1610C,WICHITA APPROACH,,4.6 N WICHITA ARPT. THERE WAS A SHOOTING IN THE AREA WITH POLICE ACTIVE. NO ACFT INVOLVEMENT. WICHITA PD,AT 300 FEET
2022-03-04,TEXAS,LONGVIEW,"PRELIM INFO FROM FAA OPS: LONGVIEW, TX/UAS INCIDENT/1120C/C-ROC ADVISED , BEECH BE40, REPORTED A UAS 200 FEET BELOW ACFT WHILE MANEUVERING AT 2,200 FEET 3.5 NW LONGVIEW. NO EVASIVE ACTION TAKEN. GREGG COUNTY SHERIFF NOTIFIED.",7A0,AIRPORT,32.6815402777778,-87.6620691666667,GREENSBORO MUNI,,1120C,,,200 FEET BELOW ACFT WHILE MANEUVERING,"AT 2,200 FEET"
2021-01-06,MARYLAND,CAMP SPRINGS,"PRELIM INFO FROM FAA OPS: CAMP SPRINGS, MD/UAS INCIDENT/1248E/JOINT BASE ANDREWS SECURITY FORCES ADVISED A UAS WAS OBSERVED OPERATING NORTHWEST OF THE AIRFIELD AT UNKN ALTITUDE. IT WAS POSSIBLY A DJI MINI MAVERICK 2 TYPE UAS. BASE OPERATIONS OBSERVED THE UAS LAND. THE UAS OPERATOR WAS NOT IDENTIFIED. NO IMPACT TO OPERATIONS. NO ACFT INVOLVED.",CO82,AIRPORT,40.0958158333333,-104.589406111111,LAND,,1248E,JOINT BASE ANDREWS SECURITY FORCES,,2 TYPE UAS. BASE OPERATIONS OBSERVED THE UAS LAND. THE UAS OPERATOR WAS NOT IDENTIFIED. NO IMPACT TO OPERATIONS. NO ACFT INVOLVED,
2021-01-19,DISTRICT OF COLUMBIA,WASHINGTON,"FOLLOW UP INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1200E/NCRCC ADVISED DC METRO PD DID NOT WITNESS UAS IN FLIGHT. LEOS IDENTIFIED OPERATOR PRIOR TO THE UAS BECOMING AIRBORNE. OPERATOR WAS NOT ARRESTED.",AZ23,HELIPORT,35.2236225,-111.583215833333,FLAGSTAFF MALL,,1200E,NCRCC,,,
2021-02-06,CALIFORNIA,SANTA ANA,"PRELIM INFO FROM FAA OPS: SANTA ANA, CA/UAS INCIDENT/1620P/W-ROC ADVISED , CIRRUS SF50, REPORTED A UAS AT HIS ALTITUDE (NOT REPORTED) 4 ESE SANTA ANA. NO EVASIVE ACTION REPORTED.. ORANGE CO SHERIFF NOTIFIED (PHONE NOT PROVIDED).",VRB,AIRPORT,27.655555,-80.4179541666667,VERO BEACH RGNL,,1620P,,,4 ESE SANTA ANA. NO EVASIVE ACTION REPORTED.. ORANGE CO SHERIFF NOTIFIED (PHONE NOT PROVIDED),
2021-02-19,CALIFORNIA,SANTA BARBARA,"PRELIM INFO FROM FAA OPS: SANTA BARBARA, CA/UAS INCIDENT/1835P/SANTA BARBARA ATCT REPORTED A UAS WAS OBSERVED BY LOCAL CONTROLLER 700 TO 1,000 FEET ABOVE , GULFSTREAM AEROSPACE GLF6, HEADING W BOUND ON FINAL RUNWAY 25 AT 1,200 FEET. NO EVASIVE ACTION REPORTED. SANTA BARBARA COUNTY SHERIFF NOTIFIED.",CA97,AIRPORT,34.0197261111111,-119.852906666667,CHRISTY AIRSTRIP,,1835P,,,000 FEET ABOVE,
2021-03-17,CALIFORNIA,PALMDALE,"CLOSE-OUT INFO FROM FAA OPS: PALMDALE, CA/UAS INCIDENT/1436P/JOSHUA CONTROL FACILITY ADVISED PALMDALE SHERIFF NOTIFIED.",LA30,AIRPORT,30.2481944444444,-92.2416666666667,PHOENIX,,1436P,JOSHUA CONTROL FACILITY,,,
2024-10-21,OHIO,YOUNGSTOWN/WARREN,"PRELIM INFO FROM FAA OPS: YOUNGSTOWN/WARREN, OH/UAS SIGHTING/1517E/YOUNGSTOWN APPROACH ADVISED, CESSNA C172, OBSERVED A SMALL UAS WHILE WESTBOUND AT 4,000 FEET, 13 E YOUNGSTOWN. NO EVASIVE ACTION REPORTED. MERCER COUNTY PD NOTIFIED.",,,41.261556850000005,-80.67544820256575,,,1517E,YOUNGSTOWN APPROACH,,13 E YOUNGSTOWN. NO EVASIVE ACTION REPORTED. MERCER COUNTY PD NOTIFIED,
2023-05-22,PENNSYLVANIA,READING,"CLOSE-OUT INFO FROM FAA OPS: READING, PA/UAS SIGHTING/1950E/HARRISBURG APCH ADVISED, CESSNA C72R, BERN TOWNSHIP PD NOTIFIED.",3CL7,HELIPORT,34.036375,-118.443830555556,OCA,,1950E,HARRISBURG APCH,,,
2023-06-11,OREGON,NEWBERG,"PRELIM INFO FROM FAA OPS: NEWBERG, OR/UAS SIGHTING/1330P/[REPORTING FACILITY] ADVISED, DIAMOND DA40, OBSERVED A UAS 800 FEET BELOW ACFT WHILE NORTHBOUND AT 900 FEET 10 ESE NEWBERG. N O EVASIVE ACTION REPORTED. CLACKAMAS COUNTY DISPATC NOTIFIED.",JAX,AIRPORT,30.4940455555556,-81.6878466666667,JACKSONVILLE INTL,,1330P,,,800 FEET BELOW ACFT WHILE NORTHBOUND,AT 900 FEET
2020-10-04,ILLINOIS,WEST CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO/WEST CHICAGO, IL/UAS INCIDENT/1216C/C-ROC ADVISED CESSNA C560, REPORTED GOLD UAS 400 FEET BELOW WHILE AT 1,600 FEET ON LEFT DOWNWIND RUNWAY 2L 2 W DUPAGE ARPT. NO EVASIVE ACTION TAKEN. WEST CHICAGO PD NOTIFIED VIA 911.",,,41.8847507,-88.2039607,,,1216C,,,400 FEET BELOW WHILE,"AT 1,600 FEET"
2020-11-17,UTAH,CEDAR CITY,"PRELIM INFO FROM FAA OPS: CEDAR CITY, UT/UAS INCIDENT/1726M/FLIGHT SERVICE ADVISED ROBINSON R44, REPORTED A UAS AT 7,000 FEET 5 N CEDAR CITY. NO EVASIVE ACTION REPORTED. CEDAR CITY PD NOTIFIED.",VRB,AIRPORT,27.655555,-80.4179541666667,VERO BEACH RGNL,,1726M,FLIGHT SERVICE,,5 N CEDAR CITY. NO EVASIVE ACTION REPORTED. CEDAR CITY PD NOTIFIED,"AT 7,000 FEET"
2020-11-22,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/LATE REPORT 0835M/DEER VALLEY ATCT REPORTED TWO FIXED WING UAS CONDUCTING AEROBATIC ACTIVITY AT LOCAL RC PARK 3 NE PHOENIX DEER VALLEY ARPT. PATTERN TRAFFIC REPORTED MAXIMUM ALTITUDE OF APPROXIMATELY 1,000 FEET. NO IMPACT TO OPERATIONS. NO EVASIVE ACTION REPORTED. PHOENIX PD NOTIFIED AT.",ACY,AIRPORT,39.4575833333333,-74.5771666666667,ATLANTIC CITY INTL,,0835M,,,3 NE PHOENIX DEER VALLEY ARPT,
2020-12-04,VIRGINIA,BOWLING GREEN,"BOWLING GREEN, VA: A MATRICE 210, CRASHED INTO A TREE AT THE CAROLYN COUNTY RECREATION COMPLEX DUE TO OPERATOR ERROR. NO DAMAGES OR INJURIES WERE REPORTED ON THE GROUND. 12/04/2020 1950Z",,,38.0498524,-77.3469994,,,1950Z,,,,
2020-12-28,NEBRASKA,OMAHA,"PRELIM INFO FROM FAA OPS: OMAHA, NE/UAS INCIDENT/1915C/OMAHA AIRPORT AUTHORITY REPORTED AN UNAUTHORIZED UAS OVER THE CORRECTIONAL FACILITY HEADING N BOUND LOCATED APPROXIMATELY 1/8TH MILE SOUTH OF RUNWAY 18. NO AIRCRAFT WERE INVOLVED.",OPF,AIRPORT,25.9074166666667,-80.2782222222222,MIAMI-OPA LOCKA EXEC,,1915C,,,,
2023-07-06,NEW YORK,AKRON,"PRELIM INFO FROM FAA OPS: AKRON, NY/UAS SIGHTING/1240E/BUFFALO APPROACH ADVISED, HELICOPTER,  OBSERVED A UAS WHILE EASTBOUND AT1,700 FEET, 3 2 S AKRON. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION OCCURRED.",VA02,AIRPORT,36.5854155555556,-79.8939286111111,PACE,,1240E,BUFFALO APPROACH,,2 S AKRON. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION OCCURRED,
2024-05-25,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS SIGHTING/1041C/NASHVILLE APPROACH ADVISED, CESSNA C172, WHILE WESTBOUND AT 2,000 FEET OBSERVED A UAS 500 FEET BELOW. NO EVASIVE ACTION REPORTED. AIRBORNE POLICE ASSET NOTIFIED.",ABQ,AIRPORT,35.0389315555556,-106.608262166667,ALBUQUERQUE INTL SUNPORT,,1041C,NASHVILLE APPROACH,,500 FEET BELOW. NO EVASIVE ACTION REPORTED. AIRBORNE POLICE ASSET NOTIFIED,"AT 2,000 FEET"
2024-01-02,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1331E/CHARLESTON TOWER ADVISED, CIRRUS SR22, REPORTED A UAS FROM THE 6 O'CLOCK POSITION 12 S CHARLESTON EXECUTIVE AT 2,000 FEET.  NO EVASIVE ACTION TAKEN.  AIRPORT OPS NOTIFIED.",CHS,AIRPORT,32.8986388888889,-80.0405277777778,CHARLESTON AFB/INTL,,1331E,CHARLESTON TOWER,,12 S CHARLESTON EXECUTIVE,
2024-01-02,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1331E/CHARLESTON TOWER ADVISED, CIRRUS SR22, REPORTED A UAS FROM THE 6 O'CLOCK POSITION 12 S CHARLESTON EXECUTIVE AT 2,000 FEET. NO EVASIVE ACTION TAKEN.  AIRPORT OPS NOTIFIED.",CHS,HELIPORT,32.8986388888889,-80.0405277777778,CHARLESTON AFB/INTL,,1331E,CHARLESTON TOWER,,12 S CHARLESTON EXECUTIVE,
2020-07-12,CALIFORNIA,SANTA MONICA,"PRELIM INFO FROM FAA OPS: SANTA MONICA, CA/UAS INCIDENT/1144P/W-ROC ADVISED PIPER CRUZ, REPORTED SILVER UAS 500 FEET BELOW ACFT WHILE AT 1,700 FEET 3 WNW SANA MONICA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",3PA8,AIRPORT,39.8203858333333,-75.9257780555556,HARRIS,,1144P,,,500 FEET BELOW ACFT WHILE,"AT 1,700 FEET"
2020-07-13,MASSACHUSETTS,WORCESTER,"CORRECTION (TO LOCATION) INFO FROM FAA OPS: WORCESTER, MA/UAS INCIDENT/2040E/WORCHESTER ATCT OBSERVED A UAS  SOUTHWEST BOUND OVERFLEW ATCT BY 200 FEET. NO ACFT INVOLVED. NO IMPACT TO OPERATIONS. MASSACHUSETTS STATE PD NOTIFIED.",MA46,AIRPORT,42.1306527777778,-71.4842277777778,ARMY NTL GUARD,,2040E,,,,
2020-07-14,FLORIDA,BROOKSVILLE,"FOLLOW UP INFO FROM FAA OPS: BROOKSVILLE, FL/UAS INCIDENT/2105E/BELL B206, PILOT REPORTED TAKING EVASIVE ACTION TO AVOID HITTING THE UAS.",CO82,AIRPORT,40.0958158333333,-104.589406111111,LAND,,2105E,,,,
2020-08-02,CALIFORNIA,BANNING,"PRELIM INFO FROM FAA OPS: BANNING, CA/UAS INCIDENT/1444P/GROUND CREW OBSERVED A UAS ON THE WESTERN SIDE OF A FIRE FIGHTING TFR (NOTAM 0/7423) VCNTY BANNING, CA.  FIRE SUPPRESSION OPERATIONS WERE NOT SUSPENDED. NO OTHER INFORMATION PROVIDED. BEAUMONT PD NOTIFIED.",TMT,AIRPORT,39.4679433333333,-117.197453888889,AUSTIN,,1444P,,,VCNTY BANNING,
2020-08-06,FLORIDA,JACKSONVILLE,"CLOSE-OUT INFO FROM FAA OPS: JACKSONVILLE, FL/UAS INCIDENT/1740E/JACKSONVILLE APCH ADVISED DUVAL COUNTY SHERIFF REPORTED NO UAS WERE FOUND IN AREA.",31OH,HELIPORT,40.7731122222222,-82.5626711111111,AU,,1740E,JACKSONVILLE APCH,,,
2020-08-15,CALIFORNIA,PALMDALE,"PRELIM INFO FROM FAA OPS: PALMDALE, CA/UAS INCIDENT/1010P/JOSHUA CONTROL FACILITY ADVISED CESSNA C210,  REPORTED A GRAY UAS AT 7,500 FEET 14 W PALMDALE. NO EVASIVE ACTION TAKEN. LOS ANGELES COUNTY SHERIFF NOTIFIED.",CT89,HELIPORT,41.2750963888889,-73.1328877777778,ITT,,1010P,JOSHUA CONTROL FACILITY,,14 W PALMDALE. NO EVASIVE ACTION TAKEN. LOS ANGELES COUNTY SHERIFF NOTIFIED,"AT 7,500 FEET"
2020-08-15,WASHINGTON,RENTON,A CITIZEN ON THE GROUND REPORTED A UAS AT 400 FEET AT THEIR RESIDENCE VICINITY OF RENTON AIRPORT. NO AIRCRAFT INVOLVED. NO FURTHER DETAILS PROVIDED.  LEO NOTIFIED VIA 911.,,,47.4799078,-122.2034496,,,,,,400 FEET AT THEIR RESIDENCE VICINITY OF RENTON AIRPORT. NO AIRCRAFT INVOLVED. NO FURTHER DETAILS PROVIDED,AT 400 FEET
2020-09-07,TENNESSEE,KNOXVILLE,"PRELIM INFO FROM FAA OPS: KNOXVILLE, TN/UAS INCIDENT/1754E/KNOXVILLE APCH ADVISED CESSNA C206, REPORTED UAS 300 FEET BELOW ACFT WHILE ORBITING AT 2,500 FEET 16 ENE KNOXVILLE. NO EVASIVE ACTION REPORTED. SEVIER COUNTY SHERIFF NOTIFIED.",C04,AIRPORT,43.6416333333333,-86.3290661111111,OCEANA COUNTY,,1754E,KNOXVILLE APCH,,300 FEET BELOW ACFT WHILE ORBITING,"AT 2,500 FEET"
2020-09-17,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1853E/GRUMMAN AMERICAN AA5, PILOT REPORTED A UAS FROM THE 9 O'CLOCK POSITION AT 900 FEET WHILE ON FINAL RUNWAY 27L. NO EVASIVE ACTION TAKEN. MIAMI DADE PD NOTIFIED.",FFZ,AIRPORT,33.4608405555556,-111.728325277778,FALCON FLD,,1853E,,,,AT 900 FEET
2020-09-20,PENNSYLVANIA,PITTSBURGH,"PRELIM INFO FROM FAA OPS: PITTSBURGH, PA/UAS INCIDENT/1800E/LN HELO(NO CALL SIGN PROVIDED), HELO, REPORTED A GREY UAS WHILE OPERATING S OF THE CHILDRENS HOSPITAL (30P HELIPAD). NO EVASIVE ACTION TAKEN. PITTSBURGH PD NOTIFIED.",MS69,AIRPORT,32.1087625,-90.0464722222222,FALCON FLD,,1800E,,,30P HELIPAD). NO EVASIVE ACTION TAKEN. PITTSBURGH PD NOTIFIED,
2020-01-01,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1103E/MIAMI APPROACH ADVISED GULFSTREAM  REPORTED A YELLOW UAS 200 FEET ABOVE ACFT WHILE AT 2,000 FEET. NO EVASIVE ACTION TAKEN. MIAMI-DADE SHERIFF NOTIFIED.",,,25.7741728,-80.19362,,,1103E,MIAMI APPROACH,,200 FEET ABOVE ACFT WHILE,
2020-01-01,NEBRASKA,MC COOK,"PRELIM INFO FROM FAA OPS: MC COOK, NE/UAS INCIDENT/2055C/C-ROC ADVISED NEBRASKA STATE POLICE REPORTED 4 DRONES, UNKNOWN TYPE OR SIZE, FLYING VNCTY MC COOK ARPT. NEBRASKA STATE POLICE REPORTED UAS.",II68,AIRPORT,39.8550441666667,-86.9591761111111,DURHAM,,2055C,,,,
2020-01-09,MISSOURI,MIDDLETOWN,"PRELIM INFO FROM FAA OPS: MIDDLETOWN, MO/UAS INCIDENT/1555E/C-ROC ADVISED REPORT OF AN APPEARANCE OF TWO UAS HOVERING OVER MIDDLETOWN. OCCURRING NIGHTLY SINCE NOVEMBER 2019. MONTGOMERY COUNTY SHERIFF NOTIFIED.",JAX,AIRPORT,30.4940455555556,-81.6878466666667,JACKSONVILLE INTL,,1555E,,,,
