,Unnamed: 0,Date,State,City,Summary,Source File,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
357,357,5/25/2022,CALIFORNIA,LA VERNE,"PRELIM INFO FROM FAA OPS: LA VERNE, CA/UAS INCIDENT/0949P/LA VERNE ATCT ADVISED, PIPER P28A, REPORTED A BLACK UAS WHILE W BOUND AT 500 FEET IN THE PATTERN FOR RUNWAY 26L. NO EVASIVE ACTION TAKEN. LA VERNE PD NOTIFIED. WOC 7-3333 HM/JW",Reported-UAS-Sightings-April-June-2022.xlsx,,W BOUND,0949P,LA VERNE ATCT,,,AT 500 FEET,,
368,368,5/27/2022,ARIZONA,MESA,"PRELIM INFO FROM FAA OPS: MESA, AZ/UAS INCIDENT/LATE REPORT - 1118M/W-ROC ADVISED, CESSNA C172, REPORTED A WHITE UAS WHILE SW BOUND AT 2,400 FEET ON THE LEFT DOWNWIND FOR RUNWAY 22L. MESA PD NOTIFIED. WOC 7-3333 HM/JW",Reported-UAS-Sightings-April-June-2022.xlsx,,SW BOUND,,,,,"AT 2,400 FEET",,
384,384,5/29/2022,PENNSYLVANIA,LANCASTER,"PRELIM INFO FROM FAA OPS: LANCASTER, PA/UAS INCIDENT/1354E/HARRISBURG ATCT ADVISED,  PIPER P28A, REPORTED A SMALL BLACK UAS AT 3,500 FEET WHILE NE BOUND VCNTY LRP. NO EVASIVE ACTION TAKEN. LEO NOTIFIED. WOC 7-3333 EC/TB",Reported-UAS-Sightings-April-June-2022.xlsx,,NE BOUND,1354E,HARRISBURG ATCT,,,"AT 3,500 FEET",,
417,417,6/2/2022,FLORIDA,PENSACOLA,"PRELIM INFO FROM FAA OPS: PENSACOLA, FL/UAS INCIDENT/0800C/PENSACOLA TRACON ADVISED, CESSNA C172, REPORTED A WHITE UAS FROM THE 11 O'CLOCK POSITION WHILE NW BOUND AT 1,100 FEET 3 NNW PENSACOLA, FL. NO EVASIVE ACTION TAKEN. ESCAMBIA COUNTY SHERIFF NOTIFIED. WOC 7-3333 JW/JO",Reported-UAS-Sightings-April-June-2022.xlsx,,NW BOUND,0800C,PENSACOLA TRACON,,,"AT 1,100 FEET",,
419,419,6/2/2022,NEW JERSEY,CALDWELL,"PRELIM INFO FROM FAA OPS: CALDWELL, NJ/UAS INCIDENT/1430E/CALDWELL ATCT ADVISED, CESSNA C172, OBSERVED A WHITE UAS AT THE 2 O'CLOCK POSITION WHILE SSW BOUND AT 100 FEET ON FINAL RUNWAY 22 CALDWELL. NO EVASIVE ACTION TAKEN. FAIRFIELD PD NOTIFIED. WOC 7-3333 GG/JO",Reported-UAS-Sightings-April-June-2022.xlsx,,SSW BOUND,1430E,CALDWELL ATCT,,,AT 100 FEET,,
442,442,6/5/2022,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",Reported-UAS-Sightings-April-June-2022.xlsx,,,,OPERATOR,,,,,
479,479,6/11/2022,GEORGIA,WILLIAMSON,"PRELIM INFO FROM FAA OPS: WILLIAMSON, GA/UAS SIGHTING/1140E/ATLANTA TRACON ADVISED, BEECH BE36, REPORTED UAS WHILE WNW BOUND AT 2,500 FEET VCNTY WILLIAMSON. NO EVASIVE ACTION REPORTED. SPALDING COUNTY SHERIFF NOTIFIED. WOC 7-3333 DJ/JL",Reported-UAS-Sightings-April-June-2022.xlsx,,WNW BOUND,1140E,ATLANTA TRACON,,,"AT 2,500 FEET",,
523,523,6/18/2022,FLORIDA,KEY WEST,"PRELIM INFO FROM FAA OPS: KEY WEST, FL/UAS SIGHTING/1000E/KEY WEST ATCT ADVISED, PIPER PA46, REPORTED UAS AT 12 O'CLOCK POSITION AT 300 FEET WHILE E BOUND VCNTY KEY WEST. NO EVASIVE ACTION TAKEN.  KEY WEST PD NOTIFIED. WOC 7-3333 RL/EF",Reported-UAS-Sightings-April-June-2022.xlsx,,E BOUND,1000E,KEY WEST ATCT,,,AT 300 FEET,,
542,542,6/19/2022,ILLINOIS,CAHOKIA-ST LOUIS,"PRELIM INFO FROM FAA OPS: CAHOKIA-ST LOUIS, IL/UAS SIGHTING/1738C/ST LOUIS DOWNTOWN ATCT ADVISED, ROBINSON R44, REPORTED UAS 50 FEET ABOVE ACFT FROM THE 1 O'CLOCK POSITION WHILE N BOUND AT 450 FEET 3.5 NNW ST LOUIS DOWNTOWN ARPT, IL. NO EVASIVE ACTION TAKEN. ST CLAIR COUNTY PD NOTIFIED. WOC 7-3333 ER/DJ",Reported-UAS-Sightings-April-June-2022.xlsx,,N BOUND,1738C,ST LOUIS DOWNTOWN ATCT,,,AT 450 FEET,,
572,572,6/25/2022,NEW YORK,ROCHESTER,"PRELIM INFO FROM FAA OPS: ROCHESTER, NY/UAS SIGHTING/1432E/ROCHESTER ATCT ADVISED, MOONEY M20P, REPORTED UAS AT SAME ALTITUDE FROM THE 3 O'CLOCK POSITION WHILE NE BOUND AT 3,500 FEET 7 SSE ROCHESTER. NO EVASIVE ACTION REPORTED. MONROE COUNTY SHERIFF NOTIFIED. WOC 7-3333 DJ/TL",Reported-UAS-Sightings-April-June-2022.xlsx,,NE BOUND,1432E,ROCHESTER ATCT,,7 SSE ROCHESTER,"AT 3,500 FEET",,
599,599,6/28/2022,MARYLAND,CAMP SPRINGS,"PRELIM INFO FROM FAA OPS: CAMP SPRINGS, MD/UAS SIGHTING/1113E/ANDREWS ATCT ADVISED, UH1, REPORTED UAS AT 200 FEET WHILE NW BOUND ON UPWIND LEG RWY 01. NO EVASIVE ACTION REPORTED. BASE DEFENSE OPERATIONS CENTER NOTIFIED. PHONE NUMBER NOT REPORTED.  WOC 7-3333 EC/MK",Reported-UAS-Sightings-April-June-2022.xlsx,,NW BOUND,1113E,ANDREWS ATCT,,,AT 200 FEET,,
616,616,6/30/2022,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1427E/ATLANTA ATCT ADVISED REPORTED POSSIBLE UAS OPERATING WITHIN A 2-MILE RADIUS OF THE AIRFIELD. NO IMPACT TO AIR OPERATIONS. ARPT PD NOTIFIED. WOC 7-3333 MK/JF",Reported-UAS-Sightings-April-June-2022.xlsx,,,1427E,ATLANTA ATCT,,,,,
674,674,2019-09-23 00:00:00,ALABAMA,BIRMINGHAM,"PRELIM INFO FROM FAA OPS: BIRMINGHAM, AL/UAS INCIDENT/LATE REPORT - 9/22 1520C/ ROCKWELL  REPORTED A MEDIUM SIZED ORANGE UAS AT 8,600 FEET MOVING SW BOUND VCNTY BIRMINGHAM, AL. NO EVASIVE ACTION TAKEN. JEFFERSON COUNTY SHERIFF NOTIFIED. NO ADDITIONAL INFORMATION PROVIDED.",FY2019_Q4_UAS_Sightings.xlsx,,,,,,,"AT 8,600 FEET",,
975,975,2019-07-30 00:00:00,TEXAS,THREE RIVERS,"PRELIM INFO FROM FAA OPS: THREE RIVERS, TX/UAS INCIDENT/0339C/THREE RIVERS VALERO OIL REFINERY SECURITY REPORTED A UAS OVER THEIR SITE NE BOUND AT 100 FEET. NO DESCRIPTION PROVIDED. THREE RIVERS PD NOTIFIED.",FY2019_Q4_UAS_Sightings.xlsx,,,0339C,,,,,,
986,986,2019-07-28 00:00:00,PENNSYLVANIA,TIDIOUTE,"PRELIM INFO FROM FAA OPS: TIDIOUTE, PA/UAS INCIDENT/1522E/E-ROC ADVISED  CESSNA C-172, REPORTED A UAS WHILE AT 4,900 FEET 5 SE TIDIOUTE VOR (TDT). NO EVASIVE ACTION TAKEN. LEO NOTIFICATION WAS NOT REPORTED.",FY2019_Q4_UAS_Sightings.xlsx,,,1522E,,,5 SE TIDIOUTE VOR (TDT),"AT 4,900 FEET",,
1054,1054,2019-07-20 00:00:00,WEST VIRGINIA, MARTINSBURG,"PRELIM INFO FROM FAA OPS: MARTINSBURG, WV/UAS INCIDENT/0814E/MARTINSBURG ATCT ADVISED PIPER PA38, REPORTED A UAS AT SAME ALTITUDE WHILE SSW BOUND AT 1,500 FEET 3.8 SW MARTINSBURG. ACFT CLIMBED TO AVOID UAS. BERKELEY COUNTY SHERIFF TO BE NOTIFIED.",FY2019_Q4_UAS_Sightings.xlsx,,SSW BOUND,0814E,MARTINSBURG ATCT,,,"AT 1,500 FEET",,
1244,1244,2018-06-22 00:00:00,FLORIDA,VERO BEACH,"PRELIM INFO FROM FAA OPS: VERO BEACH, FL/UAS INCIDENT/1128E/VRB ATCT ADVISED PIPER P28A REPORTED A SMALL WHITE UAS WHILE NW BOUND AT 1,000 FEET 4 MILE FINAL RUNWAY 30L. EVASIVE ACTION TAKEN TO AVOID UAS. INDIAN RIVER CITY PD NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,NW BOUND,1128E,VRB ATCT,,,"AT 1,000 FEET",,
1254,1254,2018-06-20 00:00:00,MONTANA,GREAT FALLS,"PRELIM INFO FROM FAA OPS: GREAT FALLS, MT/UAS INCIDENT/1200M/GREAT FALLS ATCT ADVISED P28A REPORTED A UAS PASSING 500 FEET BELOW AIRCRAFT 30 WEST OF GREAT FALLS AT 5,500 FEET. EVASIVE ACTION NOT REPORTED. LEO NOTIFICATION NOT REPORTED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1200M,GREAT FALLS ATCT,,30 WEST OF GREAT FALLS,,,
1371,1371,2018-06-10 00:00:00,ALABAMA,GURLEY,"PRELIM INFO FROM FAA OPS: GURLEY, AL/UAS INCIDENT/2210C/HUNTSVILLE TRACON ADVISED B712 REPORTED A GREEN UAS AT THE 1 O'CLOCK POSITION SAME ALTITUDE WHILE ON NW HEADING AT 15,000 FEET OVER GURLEY. NO EVASIVE ACTION TAKEN. FBI CONTACTED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,2210C,HUNTSVILLE TRACON,,,"AT 15,000 FEET",,
1389,1389,2018-06-08 00:00:00,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/2255E/BOSTON ATCT ADVISED E75S REPORTED A UAS PASSING IN FRONT OF AIRCRAFT AT 200 FEET ON FINAL TO RUNWAY 22L. NO EVASIVE ACTION TAKEN. BOSTON STATE PD NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,2255E,BOSTON ATCT,,,AT 200 FEET,,
1414,1414,2018-06-05 00:00:00,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS INCIDENT/1440M/DENVER TRACON ADVISED B739 NO EVASIVE ACTION TAKEN. DENVER ARPT OPS NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1440M,DENVER TRACON,,,,,
1494,1494,2018-05-28 00:00:00,WYOMING,CHEYENNE,"PRELIM INFO FROM FAA OPS: CHEYENNE, WY/UAS INCIDENT/1007M/CHEYENNE ATCT ADVISED CESSNA C172 REPORTED A BRIGHT BLUE UAS 300 FEET BELOW ACFT WHILE ON 3 MILE FINAL RUNWAY 9 AT 6,900 FEET. NO EVASIVE ACTION TAKEN. WARREN AFB PMO NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1007M,CHEYENNE ATCT,,,,,
1497,1497,2018-05-28 00:00:00,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/2008C/HOUSTON TRACON ADVISED E75L REPORTED A SMALL UAS WHILE E BOUND AT 2,100 FEET ON 4 MILE FINAL RUNWAY 9. NO EVASIVE ACTION TAKEN. LEO NOT NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,E BOUND,2008C,HOUSTON TRACON,,,"AT 2,100 FEET",,
1545,1545,2018-05-24 00:00:00,LOUISIANA,SHREVEPORT,"PRELIM INFO FROM FAA OPS: SHREVEPORT, LA/UAS INCIDENT/1511C/SHREVEPORT ATCT ADVISED SWEARINGEN SW3 OBSERVED A LARGE WHITE 4 ROTOR TYPE UAS WITH CAMERA AT 11 O'CLOCK POSITION 1 - 1.5 MILES LEFT OF ACFT WHILE ACFT SOUTHEAST BOUND AT 1,300 FEET 4 NW SHREVEPORT. NO EVASIVE ACTION REPORTED. CADDO PARISH SHERIFF NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1511C,SHREVEPORT ATCT,,4 ROTOR TYPE UAS WITH CAMERA,"AT 1,300 FEET",,
1582,1582,2018-05-18 00:00:00,ARIZONA, GRAND CANYON,"PRELIM INFO FROM FAA OPS: GRAND CANYON, AZ/UAS INCIDENT/0930P/SEABIRD SB7 REPORTED A UAS AT 8,800 FEET .5 E GRAND CANYON. ANOTHER UNIDENTIFIED ACFT REPORTED THE SAME UAS 25 MINUTES LATER IN THE SAME AREA OPERATING AT 8,000 FEET. NO EVASIVE ACTION REPORTED. LEO NOTIFIED. NO FURTHER INFORMATION PROVIDED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,0930P,,,,"AT 8,800 FEET",,
1634,1634,2018-05-12 00:00:00,SOUTH CAROLINA,SUMTER,"PRELIM INFO FROM FAA OPS: SUMTER, SC/UAS INCIDENT/1235E/HAWKER BEECHCRAFT BE35, REPORTED A UAS WITHIN 75 FEET OF ACFT AT 5,500 FEET VCNTY OF SHAW AFB . NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1235E,,,,"AT 5,500 FEET",,
1662,1662,2018-05-08 00:00:00,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1542E/ORLANDO TRACON ADVISED CESSNA C500 REPORTED A WHITE QUAD COPTER UAS LESS THAN 100 FEET AWAY 7 S ORLANDO INBOUND RUNWAY 7 AT 2,000 FEET. NO EVASIVE ACTION WAS TAKEN. LEOS WERE NOT NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1542E,ORLANDO TRACON,,,,,
1689,1689,2018-05-06 00:00:00,PENNSYLVANIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, PA/UAS INCIDENT/1727E/WASHINGTON COUNTY ARPT ATCT ADVISED EUROCOPTER EC 135 REPORTED A GOLD UAS 850 FEET ABOVE ARPT WHILE OPERATING NEAR WASHINGTON COUNTY ARPT. NO EVASIVE ACTION REPORTED. WASHINGTON COUNTY SHERIFF NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1727E,WASHINGTON COUNTY ARPT ATCT,,,,,
1802,1802,2018-04-19 00:00:00,TEXAS,GLEN ROSE,"PRELIM INFO FROM FAA OPS: GLEN ROSE, TX/UAS INCIDENT/0550C/PLANT SECURITY PERSONNEL ADVISED A CONCERNED CITIZEN REPORTED A UAS MANEUVERING OVER COMANCHE PEAK NUCLEAR POWER PLANT, VCNTY OF GLEN ROSE. ACFT OPERATIONS NOT IMPACTED. SOMERVELL COUNTY SHERIFF'S DEPT NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,0550C,PLANT SECURITY PERSONNEL,,,,,
1803,1803,2018-04-19 00:00:00,ARKANSAS,LITTLE ROCK,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS INCIDENT/1035C/LITTLE ROCK TRACON ADVISED MD88 REPORTED A BLACK UAS AT 2,000 FEET WHILE ON RIGHT BASE RUNWAY 4L TO LITTLE ROCK. NO EVASIVE ACTION TAKEN. LITTLE ROCK PD NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1035C,LITTLE ROCK TRACON,,,"AT 2,000 FEET",,
1808,1808,2018-04-18 00:00:00,CALIFORNIA,LAGUNA BEACH,CESSNA 172 REPORTED DRONE OVER THE WATER 500 FEET BELOW THEIR AIRCRAFT.,FY2018_Q3_UAS_Sightings.xlsx,,,,,,,,,
1811,1811,2018-04-18 00:00:00,NEW YORK,FARMINGDALE,"PRELIM INFO FROM FAA OPS: FARMINGDALE, NY/UAS INCIDENT/1909E/NEW YORK TRACON ADVISED TWO A320'S OBSERVED A SILVER UAS AT 4,000 FEET WHILE NORTHWEST BOUND 1.5 N FARMINGDALE. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,NORTHWEST BOUND,1909E,NEW YORK TRACON,,,"AT 4,000 FEET",,
1815,1815,2018-04-17 00:00:00,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS INCIDENT/1750E/TEB ATCT ADVISED CESSNA C680 REPORTED A SMALL BLACK QUAD-COPTER UAS AT 2,000 FEET WHILE ON APPROACH TO RUNWAY 24. NO EVASIVE ACTION TAKEN. LOCAL LEOS NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1750E,TEB ATCT,,,"AT 2,000 FEET",,
1824,1824,2018-04-14 00:00:00,CALIFORNIA,BURBANK,"PRELIM INFO FROM FAA OPS: BURBANK, CA/UAS INCIDENT/1730P/BURBANK ATCT ADVISED CESSNA C177 REPORTED A QUAD COPTER UAS AT THE 3 O'CLOCK POSITION WHILE N BOUND AT 3,000 FT. NO EVASIVE ACTION TAKEN. UNKN IF LEO NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,N BOUND,1730P,BURBANK ATCT,,,,,
1841,1841,2018-04-11 00:00:00,ILLINOIS,NORTH CHICAGO,"PRELIM INFO FROM FAA OPS: NORTH CHICAGO, IL/UAS INCIDENT/1335C/NAVAL STATION GREAT LAKES ADVISED PERSONNEL OBSERVED A UAS AT UNKN ALTITUDE ALONG THE SHORES OF SW LAKE MICHIGAN, EAST OF THE NAVAL STATION. SECURITY WERE DISPATCHED BUT DID NOT LOCATE THE UAS OR OPERATOR.",FY2018_Q3_UAS_Sightings.xlsx,,,1335C,NAVAL STATION GREAT LAKES,,,,,
1842,1842,2018-04-11 00:00:00,MISSISSIPPI,OLIVE BRANCH,"PRELIM INFO FROM FAA OPS: OLIVE BRANCH, MS/UAS INCIDENT/1935C/MEMPHIS TRACON ADVISED HAWER BEECHCRAFT BE58 REPORTED A UAS 100 FEET ABOVE ACFT WHILE N BOUND AT 2,500 FEET 6 N OLIVE BRANCH. NO EVASIVE ACTION REPORTED. LEOS NOT NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,N BOUND,1935C,MEMPHIS TRACON,,6 N OLIVE BRANCH,"AT 2,500 FEET",,
1850,1850,2018-04-09 00:00:00,TENNESSEE,JACKSON,"PRELIM INFO FROM FAA OPS: JACKSON, TN/UAS INCIDENT/1253C/E-ROC ADVISED H60 REPORTED A UAS AT 700 FEET 1.5 MILES SE OF JACKSON. NO EVASIVE ACTION TAKEN. MADISON COUNTY SHERIFF NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1253C,,,,AT 700 FEET,,
1852,1852,2018-04-09 00:00:00,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1510C/MOBILE APCH ADVISED OBSERVED A FOOTBALL SIZED UAS WHILE NW BOUND AT 10,000 FEET 9 SW MOBILE DOWNTOWN ARPT. NO EVASIVE ACTION TAKEN. MOBILE COUNTY SHERIFF NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,NW BOUND,1510C,MOBILE APCH,,9 SW MOBILE DOWNTOWN ARPT,"AT 10,000 FEET",,
1854,1854,2018-04-09 00:00:00,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1715P/BOMBARDIER GLEX REPORTED AN ORANGE UAS PASS UNDER LEFT SIDE AT 1,200FT ON FINAL BOEING FIELD. NO FURTHER INFORMATION PROVIDED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1715P,,,,,,
1855,1855,2018-04-09 00:00:00,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS INCIDENT/1705E/TETERBORO ATCT ADVISED EXECUTIVE BOMBARDIER GLEX OBSERVED A UAS AT 800 FEET WHILE S BOUND ON FINAL APPROACH TO RUNWAY 19. NO EVASIVE ACTION TAKEN. HACKENSACK PD NOTIFIED._x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,S BOUND,1705E,TETERBORO ATCT,,,AT 800 FEET,,
1856,1856,2018-04-08 00:00:00,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS INCIDENT/1159E/CESSNA C208 REPORTED A UAS OR BALLOON WHILE ON FINAL TO RUNWAY 8L. NO OTHER INFORMATION PROVIDED. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1159E,,,,,,
1862,1862,2018-04-08 00:00:00,FLORIDA,HOLLYWOOD,"PRELIM INFO FROM FAA OPS: HOLLYWOOD, FL/UAS INCIDENT/1403E/E-ROC ADVISED CESSNA C177 REPORTED A YELLOW UAS AT UNKN ALTITUDE 3E HOLLYWOOD. NO EVASIVE ACTION TAKEN. LOCAL LEO NOTIFIED. _x000D_
_x000D_
",FY2018_Q3_UAS_Sightings.xlsx,,,1403E,,,,,,
