,date_of_sighting,state,city,summary,faa_code,Facility Type,latitude,longitude,airport_state,airport_county,Facility Name
10,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",WS21,AIRPORT,43.1642083333333,-88.1392666666667,OKLAHOMA,GRADY,COMMUNITY MEML HOSPITAL
11,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",9WI4,HELIPORT,42.9786244444444,-88.1348119444445,ARKANSAS,PULASKI,FAKEN
12,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",WI09,AIRPORT,42.9772222222222,-88.4758333333333,GEORGIA,DE KALB,HEITMAN FLD
13,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",4WN8,,43.0052083333333,-88.4707472222222,,,LYNN LOUISE
14,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",0WI8,AIRPORT,43.1388947222222,-88.4723205555556,OHIO,FRANKLIN,OCONOMOWOC
15,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",UES,AIRPORT,43.0410277777778,-88.2370555555556,ALASKA,YUKON-KOYUKUK,WAUKESHA COUNTY
16,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",6WI8,AIRPORT,43.0110116666667,-88.242815,ALABAMA,HALE,WAUKESHA MEML HOSPITAL
17,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",AZ60,AIRPORT,32.7234330833333,-113.938305055556,ILLINOIS,COOK,CURRY RIDGE
18,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",AZ06,AIRPORT,32.7863361111111,-113.9386,ALASKA,YUKON-KOYUKUK,DUSTY WINGS FLD
19,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",LGF,HELIPORT,32.8645805555556,-114.392975,CALIFORNIA,LOS ANGELES,LAGUNA AAF (YUMA PROVING GROUND)
20,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",AZ00,AIRPORT,32.8058333333333,-113.506944444444,ARKANSAS,PULASKI,MORTON FLD
21,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",44A,AIRPORT,32.5163055555556,-114.698388888889,TEXAS,NUECES,ROLLE AIRFIELD
22,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",54AZ,AIRPORT,32.6036361111111,-114.667997222222,ARIZONA,MARICOPA,SOMERTON
23,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",AZ25,AIRPORT,32.55705,-114.678947222222,NORTH CAROLINA,ALAMANCE,TRI-ROTOR AG SERVICES
24,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",NYL,HELIPORT,32.6565738888889,-114.605987222222,TEXAS,HARRIS,YUMA MCAS/YUMA INTL
25,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",34AZ,AIRPORT,32.6686111111111,-114.439305555556,MICHIGAN,KALAMAZOO,YUMA RGNL MEDICAL CENTER
26,2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",05AZ,,32.6836222222222,-114.635058333333,,,YUMA RGNL MEDICAL CENTER
27,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",CHS,AIRPORT,32.8986388888889,-80.0405277777778,MAINE,PENOBSCOT,CHARLESTON AFB/INTL
28,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",JZI,AIRPORT,32.7010277777778,-80.00325,GEORGIA,DE KALB,CHARLESTON EXEC
29,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",20SC,,32.8222222222222,-79.8502777777778,,,EAST COOPER MEDICAL CENTER
30,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",SC42,AIRPORT,32.6869444444444,-80.1063888888889,FLORIDA,COLUMBIA,HONDAROSA
31,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",2SC7,AIRPORT,33.0516666666667,-79.5413888888889,CALIFORNIA,SANTA CLARA,LAUREL HILL FARMS
32,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",SC71,AIRPORT,32.786905,-79.951017,NEW MEXICO,BERNALILLO,MEDICAL UNIVERSITY OF SOUTH CAROLINA
33,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",LRO,,32.8978333333333,-79.7828611111111,,,MT PLEASANT RGNL-FAISON FLD
34,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",SC80,AIRPORT,32.782241,-79.9514988888889,COLORADO,WELD,MUSC SHAWN JENKINS CHILDRENS HOSPITAL
35,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",SC06,SEAPLANE BASE,32.6321252777778,-80.0923166666667,FLORIDA,OSCEOLA,PLUFF MUD FLD
36,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",SC65,HELIPORT,32.8237863888889,-79.8067488888889,COLORADO,SAN MIGUEL,RAVEN'S RUN
37,2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",93SC,AIRPORT,32.9771222222222,-80.0737666666667,NEW MEXICO,BERNALILLO,TRIDENT MEDICAL CENTER
38,2021-07-08,TEXAS,CORPUS CHRISTI,"PRELIM INFO FROM FAA OPS: CORPUS CHRISTI, TX/UAS INCIDENT/1136C/CORPUS CHRISTI APCH ADVISED , PILATUS PC12, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE SE AT 5,000 FEET 1 NW CORPUS CHRISTI. NO EVASIVE ACTION TAKEN. CORPUS CHRISTI PD NOTIFIED.",YKM,AIRPORT,46.5681672222222,-120.5440625,WASHINGTON,YAKIMA,YAKIMA AIR TRML/MCALLISTER FLD
39,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",2AL6,HELIPORT,30.4919805555556,-88.1973083333333,DELAWARE,NEW CASTLE,DALE O GALER AERODROME
40,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",AL94,AIRPORT,30.8126877777778,-88.3772341666667,UTAH,SALT LAKE,EVANS FLD
41,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",AL74,AIRPORT,30.764355,-88.3058413888889,DELAWARE,KENT,GRIMES FLD
42,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",4R9,AIRPORT,30.2604816666667,-88.1274730555556,TENNESSEE,RUTHERFORD,JEREMIAH DENTON
43,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",15A,AIRPORT,30.9091388888889,-87.9963333333333,FLORIDA,COLUMBIA,MARK REYNOLDS/NORTH MOBILE COUNTY
44,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",5AL2,HELIPORT,30.5265830555556,-88.0988877777778,TEXAS,HARRIS,MIDSTREAM FUEL SERVICE
45,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",BFM,AIRPORT,30.6267805555556,-88.0680908333333,CALIFORNIA,SANTA CLARA,MOBILE INTL
46,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",MOB,,30.6914166666667,-88.2428333333333,,,MOBILE RGNL
47,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",5R7,AIRPORT,30.45525,-88.2111944444444,ARIZONA,PIMA,ROY E RAY
48,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",35AL,,31.0895972222222,-88.2450722222222,,,SILCOX MEML
49,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",62AL,,30.6835244444444,-88.3719555555555,,,SKYWEST AIRPARK
50,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",47AL,HELIPORT,30.7848416666667,-88.2807472222222,GEORGIA,CHEROKEE,SOUTHFLIGHT
51,2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",2R5,AIRPORT,30.5019166666667,-88.2751111111111,NEW YORK,HERKIMER,ST ELMO
