,Date,State,City,Summary,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
23,2024-01-05,NEW JERSEY,ROBBINSVILLE,"PRELIM INFO FROM FAA OPS: ROBBINSVILLE, NJ/UAS SIGHTING/1522E/ATLANTIC CITY ATCT ADVISED, CESSNA C172, REPORTED A WHITE UAS FROM THE 12 O'CLOCK POSITION WHILE SE BOUND AT 3,000 FEET 5 S ROBBINSVILLE VORTAC (RBV). NO EVASIVE ACTION TAKEN. JACKSON TWSP PD NOTIFIED.",,SE BOUND,1522E,ATLANTIC CITY ATCT,,5 S ROBBINSVILLE VORTAC (RBV),"AT 3,000 FEET",40-12-08.648N,074-29-42.094W
24,2024-01-05,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1530E/JFK ATCT ADVISED, A21N, LONDON, ENGLAND (EGLL) - JFK, REPORTED A GREY UAS AT THE 9 O'CLOCK POSITION WHILE W BOUND AT 600 FEET 1 E JFK. NO EVASIVE ACTION REPORTED. ARPT PD NOTIFIED.",JFK,W BOUND,1530E,JFK ATCT,"LONDON, ENGLAND (EGLL) - JFK",1 E JFK,AT 600 FEET,40.6399280555556,-73.7786922222222
25,2024-01-05,NEW YORK,FARMINGDALE,"PRELIM INFO FROM FAA OPS: FARMINGDALE, NY/UAS SIGHTING/1703E/FARMINGDALE ATCT ADVISED, CESSNA C750, FOK - FRG, REPORTED TWO WHITE UAS WHILE W BOUND AT 1,500 FEET 1 N FARMINGDALE. NO EVASIVE ACTION REPORTED. LEOS NOTIFIED.",FRG,W BOUND,1703E,FARMINGDALE ATCT,FOK - FRG,1 N FARMINGDALE,"AT 1,500 FEET",40.7292741666667,-73.4134208333333
26,2024-01-05,MARYLAND,BALTIMORE,"PRELIM INFO FROM FAA OPS: BALTIMORE, MD/UAS SIGHTING/1755E/BALTIMORE ATCT ADVISED,  HELO, REPORTED A UAS WHILE N BOUND AT 1,200 FEET 5 W BWI. NO EVASIVE ACTION TAKEN. HOWARD COUNTY SHERIFF NOTIFIED.",BWI,N BOUND,1755E,BALTIMORE ATCT,,5 W BWI,"AT 1,200 FEET",39.1757283333333,-76.6689911111111
27,2024-01-06,LOUISIANA,NEW ORLEANS,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS SIGHTING/0805C/NEW ORLEANS ATCT ADVISED, DIAMOND DA40, NEW - NEW, REPORTED A GRAY UAS 50 FEET FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 600 FEET .5 S NEW. NO EVASIVE ACTION TAKEN. NEW ORLEANS PD NOTIFIED.",NEW,N BOUND,0805C,NEW ORLEANS ATCT,NEW - NEW,,AT 600 FEET,30.0424166666667,-90.02825
28,2024-01-06,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1445E/LAGUARDIA ATCT ADVISED, E75S, MONTREAL, CANADA (CYUL) - LGA, REPORTED A BLACK UAS WHILE NE BOUND AT 1,000 FEET 2 SW LGA. NO EVASIVE ACTION TAKEN. NEW YORK PD NOTIFIED.",NEW,NE BOUND,1445E,LAGUARDIA ATCT,"MONTREAL, CANADA (CYUL) - LGA",2 SW LGA,"AT 1,000 FEET",30.0424166666667,-90.02825
29,2024-01-06,TEXAS,SAN ANTONIO,"PRELIM INFO FROM FAA OPS: SAN ANTONIO, TX/UAS SIGHTING/1535C/SAN ANTONIO ATCT ADVISED, BEECH BE36, SAT - HDO, REPORTED A DARK-BLUE UAS WHILE SW BOUND AT 5,000 FEET 10 SW SAT. NO EVASIVE ACTION TAKEN. SAN ANTONIO PD NOTIFIED.",HDO,SW BOUND,1535C,SAN ANTONIO ATCT,SAT - HDO,10 SW SAT,"AT 5,000 FEET",29.3591305555556,-99.1774916666667
30,2024-01-07,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1818C/CHICAGO TRACON ADVISED, B738, RSW - ORD, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 3,500 FEET 7 E ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",ORD,W BOUND,1818C,CHICAGO TRACON,RSW - ORD,7 E ORD,"AT 3,500 FEET",41.9769402777778,-87.9081497222222
31,2024-01-08,NEW YORK,FARMINGDALE,"PRELIM INFO FROM FAA OPS: FARMINGDALE, NY/UAS SIGHTING/1150E/REPUBLIC ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 2 O'CLOCK POSITION WHILE SE BOUND AT 1,000 FEET 1 E FRG. NO EVASIVE ACTION TAKEN. ARPT OPS NOTIFIED.",FRG,SE BOUND,1150E,REPUBLIC ATCT,,1 E FRG,"AT 1,000 FEET",40.7292741666667,-73.4134208333333
32,2024-01-10,OKLAHOMA,OKLAHOMA CITY,"PRELIM INFO FROM FAA OPS: OKLAHOMA CITY, OK/UAS SIGHTING/1419C/OKLAHOMA CITY ATCT ADVISED, B38M, AUS - OKC, REPORTED A WHITE UAS FROM THE 1 O'CLOCK POSITION WHILE S BOUND AT 1,600 FEET 2 E OKC. NO EVASIVE MANEUVERS REPORTED. OKLAHOMA CITY PD NOTIFIED.",OKC,S BOUND,1419C,OKLAHOMA CITY ATCT,AUS - OKC,2 E OKC,"AT 1,600 FEET",35.3930740277778,-97.6007617222222
33,2024-01-10,TEXAS,EL PASO,"PRELIM INFO FROM FAA OPS: EL PASO, TX/UAS SIGHTING/1638M/EL PASO ATCT ADVISED, EXPERIMENTAL VAN'S RV8, REPORTED A UAS 100 FEET BELOW FROM THE 7 O'CLOCK POSITION WHILE NW BOUND AT 5,000 FEET 5 NW ELP. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",ELP,NW BOUND,1638M,EL PASO ATCT,,5 NW ELP,"AT 5,000 FEET",31.8073333333333,-106.376361111111
34,2024-01-11,TEXAS,DALLAS,"PRELIM INFO FROM FAA OPS: DALLAS, TX/UAS SIGHTING/0547C/DALLAS LOVE ATCT ADVISED, BELL B429, REPORTED AN ORANGE UAS WHILE NNE BOUND AT 600 FEET 40 E DAL. NO EVASIVE MANEUVERS TAKEN. DFW DPS NOTIFIED.",DAL,NNE BOUND,0547C,DALLAS LOVE ATCT,,40 E DAL,AT 600 FEET,32.8459447222222,-96.8508766666667
35,2024-01-11,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1710P/LAS VEGAS TRACON ADVISED, A20N, LAS - DEN, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE E BOUND AT 4,900 FEET 6 NE LAS. NO EVASIVE ACTION REPORTED. LAS VEGAS METRO PD NOTIFIED.",LAS,E BOUND,1710P,LAS VEGAS TRACON,LAS - DEN,6 NE LAS,"AT 4,900 FEET",36.0800438888889,-115.152234722222
36,2024-01-12,CALIFORNIA,BURBANK,"PRELIM INFO FROM FAA OPS: BURBANK, CA/UAS SIGHTING/1000P/SOCAL TRACON ADVISED, PIPER P28A, REPORTED A GOLD UAS AT THE 12 O'CLOCK POSITION WHILE SW BOUND AT 6,500 FEET 4 SSW BUR. NO EVASIVE ACTION TAKEN. LOS ANGELES COUNTY AIR UNIT NOTIFIED.",BUR,SW BOUND,1000P,SOCAL TRACON,,4 SSW BUR,"AT 6,500 FEET",34.2006944444444,-118.358666666667
37,2024-01-12,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1802E/FORT LAUDERDALE ADVISED, A320, FLL - PIT, REPORTED A UAS FROM THE 2 O'CLOCK POSITION WHILE NW BOUND AT 2,000 FEET 3 W FLL. NO EVASIVE ACTION TAKEN. BSO NOTIFIED.",FLL,NW BOUND,1802E,FORT LAUDERDALE,FLL - PIT,3 W FLL,"AT 2,000 FEET",26.0716666666667,-80.1496944444444
38,2024-01-12,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1805E/MIAMI APCH ADVISED, A320, FLL - CVG, REPORTED A GRAY AND BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 2,000 FEET 3 WNW FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.",FLL,E BOUND,1805E,MIAMI APCH,FLL - CVG,3 WNW FLL,"AT 2,000 FEET",26.0716666666667,-80.1496944444444
39,2024-01-12,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1635M/DENVER TRACON ADVISED, A21N, ONT - DEN, REPORTED A UAS WHILE N BOUND AT 8,000 FEET 10 S DEN. NO EVASIVE ACTION TAKEN. DENVER ARPT PD NOTIFIED.",ONT,N BOUND,1635M,DENVER TRACON,ONT - DEN,10 S DEN,"AT 8,000 FEET",34.0560141666667,-117.6011875
40,2024-01-13,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/1115C/DALLAS -FORT WORTH TRACON ADVISED, CRJ9, SHV - DFW, REPORTED A SMALL BLACK UAS AT THE 10 O'CLOCK POSITION WHILE SW BOUND AT 4,500 FEET  15 NNE DFW. NO EVASIVE ACTION TAKEN. DFW ARPT DPS NOTIFIED.",SHV,SW BOUND,1115C,,SHV - DFW,15 NNE DFW,"AT 4,500 FEET",32.4465152777778,-93.82604
41,2024-01-13,UTAH,SALT LAKE CITY,"PRELIM INFO FROM FAA OPS: SALT LAKE CITY, UT/UAS SIGHTING/0810M/SALT LAKE CITY TRACON ADVISED, BCS3, SLC - STL, REPORTED A GREY UAS FROM THE 1 O'CLOCK POSITION WHILE NNW BOUND AT 7,000 FEET 11 S WASATCH VOR. NO EVASIVE ACTION TAKEN. SALT LAKE CITY ARPT PD NOTIFIED.",STL,NNW BOUND,0810M,SALT LAKE CITY TRACON,SLC - STL,11 S WASATCH VOR,"AT 7,000 FEET",38.7486982222222,-90.3700257222222
42,2024-01-13,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1110E/FORT LAUDERDALE ATCT ADVISED, B752, EWR - FLL, REPORTED A WHITE AND ORANGE UAS WHILE W BOUND AT 2,000 FEET 6 E FLL. NO EVASIVE ACTION TAKEN. LOCAL LEO NOTIFIED.",FLL,W BOUND,1110E,FORT LAUDERDALE ATCT,EWR - FLL,6 E FLL,"AT 2,000 FEET",26.0716666666667,-80.1496944444444
43,2024-01-13,CALIFORNIA,POMONA,"PRELIM INFO FROM FAA OPS: POMONA, CA/UAS SIGHTING/1240P/SOCAL TRACON ADVISED, MOONEY M20J, CMA - AJO, REPORTED TWIN COPTER UAS FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 2,000 FEET 14 S POM. NO EVASIVE ACTION TAKEN. LOCAL LEO NOT NOTIFIED.",AJO,S BOUND,1240P,SOCAL TRACON,CMA - AJO,14 S POM,"AT 2,000 FEET",33.8976540833333,-117.60243975
44,2024-01-13,COLORADO,COLORADO SPRINGS,"PRELIM INFO FROM FAA OPS: COLORADO SPRINGS, CO/UAS INCIDENT/1704M/COLORADO SPRINGS ATCT ADVISED, PIPER P28A, COS - COS, REPORTED A UAS FROM THE 4 O'CLOCK POSITION WHILE N BOUND AT 9,500 FEET 7 NE FLY. PILOT MADE TURN TO AVOID UAS. LOCAL LEOS NOTIFIED.",COS,N BOUND,1704M,COLORADO SPRINGS ATCT,COS - COS,7 NE FLY,"AT 9,500 FEET",38.8058166666667,-104.700776388889
45,2024-01-14,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1015E/MIAMI ATCT ADVISED, GULFSTREAM G150, KINGSTON, JAMAICA (MKJP) - MIA, REPORTED A RED UAS ABOVE ACFT WHILE WNW BOUND AT 7,500 FEET 5 N MIA. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED.",MIA,WNW BOUND,1015E,MIAMI ATCT,"KINGSTON, JAMAICA (MKJP) - MIA",5 N MIA,"AT 7,500 FEET",25.7953611111111,-80.2901158333333
46,2024-01-14,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS SIGHTING/1050P/SOCAL TRACON ADVISED, B738, MSP - LAX, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE WSW BOUND AT 3,400 FEET 10 ENE LAX. NO EVASIVE ACTION TAKEN. LOS ANGELES COUNTY SHERIFF NOTIFIED.",MSP,WSW BOUND,1050P,SOCAL TRACON,MSP - LAX,10 ENE LAX,"AT 3,400 FEET",44.8819722222222,-93.2217777777778
47,2024-01-14,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1557E/LA GUARDIA ATCT ADVISED, CRJ9, CLT - LGA, OBSERVED A UAS ON LEFT SIDE WHILE NORTHWEST BOUND AT 1,900 FEET, 5 SE LGA. NO INJURIES REPORTED. NO LEO NOTIFICATION PROVIDED.",NEW,NORTHWEST BOUND,1557E,LA GUARDIA ATCT,CLT - LGA,5 SE LGA,,30.0424166666667,-90.02825
48,2024-01-14,NEW YORK,NEW YORK,"(CORRECTION TO FLIGHT NUMBER) PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1557E/LA GUARDIA ATCT ADVISED, CRJ9, CLT - LGA, OBSERVED A UAS ON LEFT SIDE WHILE NORTHWEST BOUND AT 1,900 FEET, 5 SE LGA. NO INJURIES REPORTED. NO LEO NOTIFICATION PROVIDED.",NEW,NORTHWEST BOUND,1557E,LA GUARDIA ATCT,CLT - LGA,5 SE LGA,,30.0424166666667,-90.02825
49,2024-01-14,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS SIGHTING/1300P/LOS ANGELES ARTCC ADVISED, A321, LAX - VANCOUVER, CANADA (CYVR), REPORTED A UAS 100 FEET FROM ACFT WHILE NW BOUND AT 10,000 FEET 10 W LAX. NO EVASIVE ACTION TAKEN. LOS ANGELES PD NOTIFIED.",LAX,NW BOUND,1300P,LOS ANGELES ARTCC,"LAX - VANCOUVER, CANADA (CYVR)",10 W LAX,"AT 10,000 FEET",33.9424963888889,-118.408048611111
50,2024-01-14,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1326P/NORTH LAS VEGAS ATCT ADVISED, DIAMOND DA40, VGT - VGT, REPORTED A SILVER UAS WHILE N BOUND AT 2,800 FEET 2 N VGT. NO EVASIVE ACTIONS TAKEN. LAS VEGAS METRO PD NOTIFIED.",LAS,N BOUND,1326P,NORTH LAS VEGAS ATCT,VGT - VGT,2 N VGT,"AT 2,800 FEET",36.0800438888889,-115.152234722222
51,2024-01-14,FLORIDA,DAYTONA BEACH,"PRELIM INFO FROM FAA OPS: DAYTONA BEACH, FL/UAS SIGHTING/2107E/DAYTONA BEACH ATCT ADVISED, CESSNA C152, CRG - DAB, REPORTED A UAS WITH A BLUE LIGHT AT THE 9 O'CLOCK POSITION WHILE S BOUND AT 3,000 FEET 1 WSW DAB. NO EVASIVE ACTION TAKEN. VOLUSIA COUNTY SHERIFF NOTIFIED.",CRG,S BOUND,2107E,DAYTONA BEACH ATCT,CRG - DAB,1 WSW DAB,"AT 3,000 FEET",30.3363333333333,-81.5144444444445
52,2024-01-15,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS SIGHTING/1520E/BOSTON ARTCC ADVISED, B77W, PARIS, FRANCE (LFPG) - BOS, REPORTED A MEDIUM BLACK UAS FROM THE 12 O'CLOCK POSITION WHILE WSW BOUND AT 16,000 FEET 58 ENE BOS. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",BOS,WSW BOUND,1520E,BOSTON ARTCC,"PARIS, FRANCE (LFPG) - BOS",58 ENE BOS,"AT 16,000 FEET",42.3629444444444,-71.0063888888889
