,Day of Sighting,x,y,z,State,City,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates,latitude,longitude,alt_meters
18,4/4/2022,-2502608.762848876,-4677163.0565018235,3529556.293561701,CALIFORNIA,LONG BEACH,,LGB,W BOUND,1305P,LONG BEACH ATCT,LGB - LGB,2 E LGB,AT 800 FEET,KLGB,medium_airport,60.0,,US,US-CA,Long Beach,KLGB,LGB,KLGB,LGB,"33.816523, -118.149891",33.816523,-118.149891,0.0
19,4/4/2022,-1996423.092213365,-4939854.703708972,3494348.2245444213,ARIZONA,PHOENIX,,PHX,E BOUND,1334M,PHOENIX TRACON,"CALGARY, CANADA (CYYC) - PHX",7 WSW PHOENIX VOR,"AT 7,000 FEET",KPHX,large_airport,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,KPHX,PHX,"33.435302, -112.005905",33.435302,-112.005905,0.0
20,4/4/2022,-2454014.598515506,-4777046.091509876,3429143.4312611683,CALIFORNIA,SAN DIEGO,,SAN,W BOUND,1640P,SAN DIEGO ATCT,OAK - SAN,,AT 400 FEET,KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
21,4/5/2022,732536.5429070785,-5589194.215422003,2974107.738856263,FLORIDA,TAMPA,,TPA,S BOUND,1410E,TAMPA ATCT,BNA - TPA,,"AT 2,000 FEET",KTPA,large_airport,26.0,,US,US-FL,Tampa,KTPA,TPA,KTPA,TPA,"27.9755, -82.533203",27.9755,-82.533203,0.0
22,4/5/2022,-495337.0869501024,-4786325.091244639,4172413.7780925957,PENNSYLVANIA,PHILADELPHIA,,OFF,S BOUND,1715E,PHILADELPHIA APCH,JAX - PHL,6 NW PHL,"AT 4,000 FEET",KOFF,medium_airport,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851",41.119307,-95.90851,0.0
23,4/5/2022,-735613.724226666,-5468015.905435893,3189318.6728778197,CALIFORNIA,LOS ANGELES,,AUS,WSW BOUND,1555P,LOS ANGELES ATCT,AUS - LAX,6 ENE LAX,"AT 1,800 FEET",KAUS,large_airport,542.0,,US,US-TX,Austin,KAUS,AUS,KAUS,AUS,"30.197535, -97.662015",30.197535,-97.662015,0.0
24,4/6/2022,-2561419.5602852814,-3963445.7598729143,4276401.506933644,OREGON,PORTLAND,,MFR,S BOUND,0845P,PORTLAND TRACON,PDX - MFR,10 SW PDX,"AT 8,000 FEET",KMFR,medium_airport,1335.0,,US,US-OR,Medford,KMFR,MFR,KMFR,MFR,"42.37419891357422, -122.87300109863281",42.37419891357422,-122.8730010986328,0.0
25,4/6/2022,-495337.0869501024,-4786325.091244639,4172413.7780925957,FLORIDA,MIAMI,,OFF,W BOUND,1215E,MIAMI TRACON," TMB - TORONTO, CANADA (CYYZ)",6 W TMB,"AT 3,000 FEET",KOFF,medium_airport,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851",41.119307,-95.90851,0.0
26,4/6/2022,-2483622.857626702,-4697089.870401489,3516568.4290128825,UTAH,SALT LAKE CITY,,SNA,N BOUND,1023M,,SNA - SLC,,"AT 5,200 FEET",KSNA,large_airport,56.0,,US,US-CA,Santa Ana,KSNA,SNA,KSNA,SNA,"33.675701, -117.867996",33.675701,-117.867996,0.0
27,4/6/2022,1086460.6441823894,-5094168.63976169,3668647.4370719716,NORTH CAROLINA,GOLDSBORO,,GSB,SW BOUND,1450E,GOLDSBORO ATCT,GSB - GSB,2 NE GSB,"AT 3,000 FEET",KGSB,medium_airport,109.0,,US,US-NC,Goldsboro,KGSB,GSB,KGSB,GSB,"35.339401, -77.960602",35.339401,-77.960602,0.0
28,4/6/2022,-1809999.759405166,-4484443.026800817,4144698.850798075,NEW YORK,NEW YORK,,SLC,N BOUND,1620E,JF KENNEDY ATCT,SLC - JFK,,AT 300 FEET,KSLC,large_airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866",40.78886,-111.979866,0.0
29,4/6/2022,866249.7482110094,-5505410.530148967,3091325.4846068257,FLORIDA,DAYTONA BEACH,,DAB,N BOUND,1851E,DAYTONA BEACH ATCT,DAB - DAB,3 SE DAB,"AT 2,800 FEET",KDAB,medium_airport,34.0,,US,US-FL,Daytona Beach,KDAB,DAB,KDAB,DAB,"29.179899, -81.058098",29.179899,-81.058098,0.0
30,4/7/2022,819550.0879753563,-5669967.373070627,2794247.3879870004,TENNESSEE,NASHVILLE,,APF,NORTHWEST BOUND,1418C,NASHVILLE ATCT,APF - BNA,22 SE NASHVILLE,"AT 10,500 FEET",KAPF,medium_airport,8.0,,US,US-FL,Naples,KAPF,APF,KAPF,APF,"26.1525993347, -81.7752990723",26.1525993347,-81.7752990723,0.0
31,4/8/2022,1218097.73553395,-4959579.309280915,3808110.864481857,NORTH CAROLINA,COFIELD,,ORF,NE BOUND,1141E,NORFOLK APCH,ATL - ORF,,"AT 14,000 FEET",KORF,large_airport,26.0,,US,US-VA,Norfolk,KORF,ORF,KORF,ORF,"36.895341, -76.201",36.895341,-76.201,0.0
32,4/8/2022,1311401.6131893685,-4753624.740614084,4031670.001207678,NEW JERSEY,ATLANTIC CITY,,ACY,,1230E,,,2 NE ACY,,KACY,medium_airport,75.0,,US,US-NJ,Atlantic City,KACY,ACY,KACY,ACY,"39.45759963989258, -74.57720184326172",39.45759963989258,-74.57720184326172,0.0
33,4/8/2022,848189.1248197181,-5548768.681898493,3018438.2657909067,FLORIDA,ORLANDO,,MCO,S BOUND,1314E,ORLANDO APCH,BDL - MCO,5 ENE MCO,"AT 7,000 FEET",KMCO,large_airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016",28.429399490356445,-81.30899810791016,0.0
34,4/8/2022,-141975.56723481126,-4753438.825824505,4236078.129178097,IOWA,CEDAR RAPIDS,,CID,SE BOUND,1400C,CEDAR RAPIDS APCH,MSP - CID,7 SE CID,"AT 2,000 FEET",KCID,medium_airport,869.0,,US,US-IA,Cedar Rapids,KCID,CID,KCID,CID,"41.884701, -91.7108",41.884701,-91.7108,0.0
35,4/8/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,SOUTH DAKOTA,SIOUX FALLS,,AND,,,,,,,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
36,4/8/2022,-1241829.507731127,-4742677.971129063,4066210.206869713,CALIFORNIA,FRESNO,,DEN,N BOUND,1342P,FRESNO APCH,FAT - DEN,4 N FAT,"AT 5,000 FEET",KDEN,large_airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521",39.861698150635,-104.672996521,0.0
37,4/9/2022,-2684380.551762947,-4307744.630001566,3849441.72903021,CALIFORNIA,SAN JOSE,,SJC,,1040P,SAN JOSE ATCT,LAX - SJC,,"AT 1,200 FEET",KSJC,large_airport,62.0,,US,US-CA,San Jose,KSJC,SJC,KSJC,SJC,"37.362452, -121.929188",37.362452,-121.929188,0.0
38,4/9/2022,956225.416401042,-5673293.575372575,2743949.912195849,FLORIDA,MIAMI,,TMB,,1445E,MIAMI EXECUTIVE ATCT,,4 SW TMB,,KTMB,medium_airport,8.0,,US,US-FL,Miami,KTMB,TMB,KTMB,TMB,"25.6479, -80.4328",25.6479,-80.4328,0.0
39,4/9/2022,-708452.1322544299,-5094764.5189340785,3758575.99509288,TEXAS,FORT WORTH,,END,,1355C,,,,,KEND,medium_airport,1307.0,,US,US-OK,Enid,KEND,END,KEND,END,"36.339199, -97.916496",36.339199,-97.916496,0.0
40,4/9/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,NORTH CAROLINA,CHARLOTTE,,AND,NW BOUND,1627E,CHARLOTTE ATCT,,12 SE CLT,"AT 4,000 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
41,4/9/2022,-510419.6327292287,-5524274.644427576,3136271.989313702,TEXAS,SAN ANTONIO,,HOU,SW BOUND,1701C,SAN ANTONIO TRACON,HOU - SAT,4 SSW SAT,"AT 2,500 FEET",KHOU,medium_airport,46.0,,US,US-TX,Houston,KHOU,HOU,KHOU,HOU,"29.645399, -95.2789",29.645399,-95.2789,0.0
42,4/9/2022,-191341.9728506513,-5513523.04894683,3190062.530331142,TEXAS,HOUSTON,,LFT,E BOUND,1700C,HOUSTON TRACON,IAH - LFT,20 E IAH,"AT 13,000 FEET",KLFT,medium_airport,42.0,,US,US-LA,Lafayette,KLFT,LFT,KLFT,LFT,"30.205299, -91.987602",30.205299,-91.987602,0.0
43,4/9/2022,-2708495.019896337,-4272053.777251335,3872104.885587287,CALIFORNIA,MODESTO,,SFO,WSW BOUND,2136P,NORCAL TRACON,RSW - SFO,16 WSW MODESTO,"AT 15,000 FEET",KSFO,large_airport,13.0,,US,US-CA,San Francisco,KSFO,SFO,KSFO,SFO,"37.619806, -122.374821",37.619806,-122.374821,0.0
44,4/10/2022,1115637.6697473524,-4846904.561202336,3979543.755941752,DISTRICT OF COLUMBIA,WASHINGTON,,DCA,W BOUND,1144E,POTOMAC TRACON,ADW - BLV,4 E DCA,"AT 4,500 FEET",KDCA,large_airport,15.0,,US,US-DC,Washington,KDCA,DCA,KDCA,DCA,"38.8521, -77.037697",38.8521,-77.037697,0.0
45,4/10/2022,-2454014.598515506,-4777046.091509876,3429143.4312611683,PUERTO RICO,SAN JUAN,,SAN,E BOUND,1345L,SAN JUAN ATCT,,2 E SAN JUAN,"AT 2,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
46,4/10/2022,145291.79112752483,-4751624.620185289,4237987.771555987,ILLINOIS,CHICAGO-WEST CHICAGO,,DPA,N BOUND,1255C,DUPAGE ATCT,LEX - DPA,4 W DUPAGE ARPT,"AT 4,500 FEET",KDPA,medium_airport,759.0,,US,US-IL,Chicago/West Chicago,KDPA,DPA,KDPA,DPA,"41.90779877, -88.24859619",41.90779877,-88.24859619,0.0
47,4/10/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,CALIFORNIA,LOS ANGELES,,AND,WSW BOUND,1154P,LOS ANGELES ATCT,SFO - LAX,4 ENE LOS ANGELES OVER SOFI STADIUM,"AT 1,300 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
48,4/10/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,ORLANDO,,AND,E BOUND,1830E,ORLANDO SANFORD ATCT,"SFB - SFB, REPORTED A WHITE AND GREY, MEDIUM SIZED",,AT 950 FEET,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
49,4/10/2022,792953.8031010058,-5635380.249398199,2870334.4408606654,FLORIDA,PUNTA GORDA,,PGD,E BOUND,2210E,FORT MYERS TRACON,PGD - SFB,5 E PGD,"AT 3,000 FEET",KPGD,medium_airport,26.0,,US,US-FL,Punta Gorda,KPGD,PGD,KPGD,PGD,"26.9202, -81.990501",26.9202,-81.990501,0.0
50,4/11/2022,732536.5429070785,-5589194.215422003,2974107.738856263,DISTRICT OF COLUMBIA,WASHINGTON D.C.,,TPA,,1215E,POTOMAC TRACON,DCA - TPA,3 S DCA,,KTPA,large_airport,26.0,,US,US-FL,Tampa,KTPA,TPA,KTPA,TPA,"27.9755, -82.533203",27.9755,-82.533203,0.0
51,4/11/2022,1115637.6697473524,-4846904.561202336,3979543.755941752,DISTRICT OF COLUMBIA,WASHINGTON,,DCA,,1215E,POTOMAC TRACON,DCA - FLL,3 S DCA,"AT 2,700 FEET",KDCA,large_airport,15.0,,US,US-DC,Washington,KDCA,DCA,KDCA,DCA,"38.8521, -77.037697",38.8521,-77.037697,0.0
52,4/11/2022,298866.773992403,-5149200.629364599,3739359.0419931416,PENNSYLVANIA,PHILADELPHIA,,BNA,,1801E,PHILADELPHIA ATCT,BNA - PHL,1 E PHL,,KBNA,large_airport,599.0,,US,US-TN,Nashville,KBNA,BNA,KBNA,BNA,"36.1245, -86.6782",36.1245,-86.6782,0.0
53,4/11/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,MARYLAND,BALTIMORE,,AND,E BOUND,2256E,BWI ATCT,JFK - BWI,2 W BWI,AT 500 FEET,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
54,4/12/2022,-2454014.598515506,-4777046.091509876,3429143.4312611683,PUERTO RICO,SAN JUAN,,SAN,E BOUND,1325L,ISLA GRANDE ATCT,,5 W FERNANDO LUIS RIBAS DOMINICCI ARPT,"AT 1,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
55,4/12/2022,797992.2116957735,-5457103.772132333,3192984.2267777836,FLORIDA,JACKSONVILLE,,NIP,N BOUND,2045E,JACKSONVILLE NAVAL STATION ATCT,NIP - NIP,2 S NIP,AT 500 FEET,KNIP,medium_airport,21.0,,US,US-FL,Jacksonville,KNIP,NIP,KNIP,NIP,"30.2358, -81.680603",30.2358,-81.680603,0.0
56,4/12/2022,-2684380.551762947,-4307744.630001566,3849441.72903021,CALIFORNIA,SAN DIEGO,,SJC,,2002P,SAN DIEGO ATCT,SJC - SAN,,,KSJC,large_airport,62.0,,US,US-CA,San Jose,KSJC,SJC,KSJC,SJC,"37.362452, -121.929188",37.362452,-121.929188,0.0
57,4/13/2022,980438.7272282552,-5648331.131821598,2786288.835050178,FLORIDA,FORT LAUDERDALE,,FLL,E BOUND,1215E,FORT LAUDERDALE ATCT,PCW - FLL,,"AT 1,500 FEET",KFLL,large_airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702",26.072599,-80.152702,0.0
58,4/13/2022,1518575.8294374656,-4519052.747610385,4222859.098650739,NORTH CAROLINA,CHARLOTTE,,PVD,S BOUND,1320E,CHARLOTTE TRACON,PVD - CLT,9 N CLT,"AT 2,700 FEET",KPVD,large_airport,55.0,,US,US-RI,Warwick,KPVD,PVD,KPVD,PVD,"41.725038, -71.425668",41.725038,-71.425668,0.0
59,4/14/2022,-2309663.0271417983,-3652075.2855080604,4675585.693572231,WASHINGTON,SEATTLE,,SEA,S BOUND,1547P,SEATTLE TRACON,SEA - LAS,8 SSE SEA,"AT 6,100 FEET",KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
60,4/14/2022,-1241829.507731127,-4742677.971129063,4066210.206869713,COLORADO,DENVER,,DEN,,2000M,DENVER ARTCC,MSP - DEN,10 SE DENVER,"AT 8,000 FEET",KDEN,large_airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521",39.861698150635,-104.672996521,0.0
61,4/15/2022,1343534.376848053,-4646442.242626052,4143718.3289120435,NEW YORK,NEW YORK,,LGA,NNW BOUND,0951E,LAGUARDIA ATCT,LGA - JAX,,AT 300 FEET,KLGA,large_airport,21.0,,US,US-NY,New York,KLGA,LGA,KLGA,LGA,"40.777199, -73.872597",40.777199,-73.872597,0.0
62,4/15/2022,848189.1248197181,-5548768.681898493,3018438.2657909067,FLORIDA,ORLANDO,,MCO,N BOUND,1248E,ORLANDO INTERNATIONAL ATCT,CLT - MCO,11 S MCO,"AT 1,000 FEET",KMCO,large_airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016",28.429399490356445,-81.30899810791016,0.0
63,4/15/2022,407825.1434216524,-5440921.955343981,3292056.8480907716,ALABAMA,OZARK,,OZR,ENE BOUND,1505C,JACKSONVILLE ARTCC,,16 N OZR,"AT 1,600 FEET",KOZR,medium_airport,301.0,,US,US-AL,Fort Rucker/Ozark,KOZR,OZR,KOZR,OZR,"31.27569962, -85.71340179",31.27569962,-85.71340179,0.0
64,4/15/2022,691790.6286199457,-4732393.451098138,4205627.896017554,OHIO,CLEVELAND,,BKL,N BOUND,1731E,CLEVELAND APCH,PDK - BKL,16 ESE CLEVELAND,"AT 4,500 FEET",KBKL,medium_airport,583.0,,US,US-OH,Cleveland,KBKL,BKL,KBKL,BKL,"41.51750183105469, -81.68329620361328",41.51750183105469,-81.68329620361328,0.0
65,4/15/2022,1020302.2268381763,-5214154.400308791,3516937.4502092013,MARYLAND,BALTIMORE,,MYR,SSE BOUND,1710E,POTOMAC TRACON,"MYERSTOWN, PA - MYR",23 SSE BWI,"AT 8,000 FEET",KMYR,medium_airport,25.0,,US,US-SC,Myrtle Beach,KMYR,MYR,KMYR,MYR,"33.679699, -78.928299",33.679699,-78.928299,0.0
66,4/15/2022,-2309663.0271417983,-3652075.2855080604,4675585.693572231,WASHINGTON,SEATTLE,,SEA,W BOUND,1645P,SEATTLE TRACON,,1 N SEA,"AT 4,000 FEET",KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
67,4/16/2022,982302.1553730624,-5632805.223883683,2816691.30267036,FLORIDA,BOCA RATON,,BCT,ENE BOUND,0918E,BOCA RATON FCT,"BCT - NASSAU, BAHAMAS (MYNN)",1 NE BCT,AT 400 FEET,KBCT,medium_airport,13.0,,US,US-FL,Boca Raton,KBCT,BCT,KBCT,BCT,"26.3785, -80.107697",26.3785,-80.107697,0.0
68,4/16/2022,-639897.0848025407,-5325384.1758897435,3439724.834987925,ILLINOIS,CHICAGO,,DAL,W BOUND,1255C,,DAL - ORD,10 E ORD,"AT 3,500 FEET",KDAL,medium_airport,487.0,,US,US-TX,Dallas,KDAL,DAL,KDAL,DAL,"32.847099, -96.851799",32.847099,-96.851799,0.0
69,4/16/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,ILLINOIS,CHICAGO,,AND,W BOUND,1319C,,LIT - ORD,12 E ORD,"AT 4,000 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
70,4/16/2022,-2535618.0070087244,-4442167.990080104,3797528.75756897,CALIFORNIA,VAN NUYS,,FAT,SSE BOUND,1252P,,FAT - VNY,3 NNW VNY,"AT 2,000 FEET",KFAT,medium_airport,336.0,,US,US-CA,Fresno,KFAT,FAT,KFAT,FAT,"36.776199, -119.718002",36.776199,-119.718002,0.0
71,4/16/2022,980438.7272282552,-5648331.131821598,2786288.835050178,FLORIDA,FORT LAUDERDALE,,FLL,E BOUND,1620E,FORT LAUDERDALE ATCT,DCA - FLL,9 W FLL,"AT 2,000 FEET",KFLL,large_airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702",26.072599,-80.152702,0.0
72,4/16/2022,-637594.6339091661,-5318287.19084,3451037.6567682405,TEXAS,DALLAS,,ADS,E BOUND,1835C,ADDISON ATCT,"PIPER CRUZ, ADS - ADS",2 E ADS,"AT 2,000 FEET",KADS,small_airport,644.0,,US,US-TX,Dallas,KADS,ADS,KADS,ADS,"32.9686012268, -96.8364028931",32.9686012268,-96.8364028931,0.0
73,4/16/2022,-656833.8325285534,-5320307.282765238,3444354.335294477,CALIFORNIA,LOS ANGELES,,DFW,E BOUND,1708P,LOS ANGELES ATCT,DFW - LAX,3 E LAX,"AT 1,200 FEET",KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
74,4/16/2022,-2297832.5798455435,-1486420.5016775897,5741860.059255021,ALASKA,FAIRBANKS,,EIL,,1819L,ANCHORAGE ARTCC,,,,PAEI,medium_airport,547.0,,US,US-AK,Fairbanks,PAEI,EIL,PAEI,EIL,"64.66570282, -147.102005",64.66570282,-147.102005,0.0
75,4/17/2022,317514.81653205754,-4902553.286241792,4053890.7379439357,INDIANA,INDIANAPOLIS,,IND,,1510E,INDIANAPOLIS ATCT,IND - PHX,,,KIND,large_airport,797.0,,US,US-IN,Indianapolis,KIND,IND,KIND,IND,"39.7173, -86.294403",39.7173,-86.294403,0.0
76,4/17/2022,-2193330.55848725,-4671257.253408044,3735670.896883552,NEVADA,LAS VEGAS,,LAS,S BOUND,1428P,LAS VEGAS ATCT,,3 N LAS,"AT 3,000 FEET",KLAS,large_airport,2181.0,,US,US-NV,Las Vegas,KLAS,LAS,KLAS,LAS,"36.083361, -115.151817",36.083361,-115.151817,0.0
