date_of_sighting,state,city,summary,drone_latitude,drone_longitude,drone_altitude_ft,Facility Name,Facility Type,Time,Time_UTC,index_right,airspace_name,min_altitude,max_altitude,airspace_class
2020-10-02,VIRGINIA,VIRGINIA BEACH,"PRELIM INFO FROM FAA OPS: VIRGINIA BEACH, VA/UAS INCIDENT/1350E/OCEANA NAS APCH ADVISED F18, REPORTED UAS WHILE SE BOUND AT 11,000 FEET 10 E OCEANA NAVAL AIR STATION. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",36.83113542290473,-75.85842876000746,11000,BREEDEN COMPANY,SEAPLANE BASE,1350E,2020-10-02 18:50:00,,,,,
2020-10-04,CALIFORNIA,PALMDALE,"PRELIM INFO FROM FAA OPS: PALMDALE, CA/UAS INCIDENT/1440P/JOSHUA CONTROL FACILITY ADVISED GULFSTREAM GLF4,  OBSERVED A UAS WHILE SOUTHWEST BOUND AT 9,000 FEET, 10 N PALMDALE. NO EVASIVE ACTION REPORTED. LOS ANGELES COUNTY SHERIFF NOTIFIED.",44.97409664920337,-68.8281388888889,900,BANGOR INTL,AIRPORT,1440P,2020-10-04 11:40:00,,,,,
2020-11-06,OKLAHOMA,OKLAHOMA CITY,"PRELIM INFO FROM FAA OPS: OKLAHOMA CITY, OK/UAS INCIDENT/1200C/OKC APCH ADVISED KC135, REPORTED SMALL SILVER UAS AT SAME ALTITUDE WHILE W BOUND AT 8,500 FEET 20 NE TINKER AFB. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT PROVIDED.",44.43117783619592,-122.74419860048545,8500,GREER,AIRPORT,1200C,2020-11-06 18:00:00,,,,,
2020-11-17,UTAH,CEDAR CITY,"PRELIM INFO FROM FAA OPS: CEDAR CITY, UT/UAS INCIDENT/1726M/FLIGHT SERVICE ADVISED ROBINSON R44, REPORTED A UAS AT 7,000 FEET 5 N CEDAR CITY. NO EVASIVE ACTION REPORTED. CEDAR CITY PD NOTIFIED.",27.73911800535136,-80.4179541666667,7000,VERO BEACH RGNL,AIRPORT,1726M,2020-11-18 05:26:00,,,,,
2020-11-22,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/LATE REPORT 0835M/DEER VALLEY ATCT REPORTED TWO FIXED WING UAS CONDUCTING AEROBATIC ACTIVITY AT LOCAL RC PARK 3 NE PHOENIX DEER VALLEY ARPT. PATTERN TRAFFIC REPORTED MAXIMUM ALTITUDE OF APPROXIMATELY 1,000 FEET. NO IMPACT TO OPERATIONS. NO EVASIVE ACTION REPORTED. PHOENIX PD NOTIFIED AT.",39.49296009804786,-74.531496014583,100,ATLANTIC CITY INTL,AIRPORT,0835M,2020-11-22 20:35:00,393.0,ATLANTIC CITY INTERNATIONAL AIRPORT CLASS C,1249.68,1249.68,C
2023-07-06,NEW YORK,AKRON,"PRELIM INFO FROM FAA OPS: AKRON, NY/UAS SIGHTING/1240E/BUFFALO APPROACH ADVISED, HELICOPTER,  OBSERVED A UAS WHILE EASTBOUND AT1,700 FEET, 3 2 S AKRON. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION OCCURRED.",36.55203703796243,-79.8939286111111,700,PACE,AIRPORT,1240E,2023-07-06 17:40:00,,,,,
2024-04-08,CALIFORNIA,PALMDALE,"PRELIM INFO FROM FAA OPS: PALMDALE, CA/UAS SIGHTING/1400P/JOSHUA CONTROL FACILITY ADVISED, DASSAULT FA7X, REPORTED A BLACK UAS WHILE WSW BOUND AT 8,000 FEET 12 WSW PALMDALE VORTAC. NO EVASIVE ACTION TAKEN. LOS ANGELES COUNTY SHERIFF NOTIFIED.",32.04018489275541,-111.15884652350918,8000,TUCSON INTL,AIRPORT,1400P,2024-04-08 11:00:00,,,,,
2024-01-02,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1331E/CHARLESTON TOWER ADVISED, CIRRUS SR22, REPORTED A UAS FROM THE 6 O'CLOCK POSITION 12 S CHARLESTON EXECUTIVE AT 2,000 FEET.  NO EVASIVE ACTION TAKEN.  AIRPORT OPS NOTIFIED.",32.69824372014568,-80.0405277777778,200,CHARLESTON AFB/INTL,AIRPORT,1331E,2024-01-02 18:31:00,,,,,
2024-01-02,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1331E/CHARLESTON TOWER ADVISED, CIRRUS SR22, REPORTED A UAS FROM THE 6 O'CLOCK POSITION 12 S CHARLESTON EXECUTIVE AT 2,000 FEET. NO EVASIVE ACTION TAKEN.  AIRPORT OPS NOTIFIED.",32.69824372014568,-80.0405277777778,200,CHARLESTON AFB/INTL,HELIPORT,1331E,2024-01-02 18:31:00,,,,,
2022-11-05,PENNSYLVANIA,EAST TEXAS,"PRELIM INFO FROM FAA OPS: EAST TEXAS, PA/UAS SIGHTING/1915E/ALLENTOWN APCH ADVISED, EUROCOPTER EC35, REPORTED AN ORANGE UAS AT THE 10 O'CLOCK POSITION WHILE WSW BOUND AT 1,000 FEET 10 E EAST TEXAS VORTAC. NO EVASIVE ACTION TAKEN. ALLENTONW PD NOTIFIED.",42.114060938563306,-87.67760576631852,1000,CHICAGO EXEC,AIRPORT,1915E,2022-11-06 00:15:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,B
2022-11-07,VIRGINIA,RICHMOND,"PRELIM INFO FROM FAA OPS: RICHMOND, VA/UAS SIGHTING INCIDENT/1908E/POTOMAC TRACON REPORTED , P8, WAS ILLUMINATED BY A GREEN LASER AT 5,000 FEET WHILE NE BOUND 10 NE HCM VOR. NO EVASIVE ACTION REPORTED.Â KING & QUEEN CO. SHERIFF WAS NOTIFIED.",37.974899128228515,-76.5870791054874,5000,BILL DAVENPORT MEML,,1908E,2022-11-08 00:08:00,,,,,
2022-11-07,VIRGINIA,RICHMOND,"CORRECTION INFO (SUMMARY) FROM FAA OPS: RICHMOND, VA/UAS SIGHTING INCIDENT/1908E/POTOMAC TRACON REPORTED , P8,  REPORTED A WHITE UAS AT 5,000 FEET WHILE NE BOUND 10 NE HCM VOR. NO EVASIVE ACTION REPORTED.Â KING & QUEEN CO. SHERIFF WAS NOTIFIED.",37.974899128228515,-76.5870791054874,5000,BILL DAVENPORT MEML,HELIPORT,1908E,2022-11-08 00:08:00,,,,,
2020-07-06,NEBRASKA,OMAHA,"PRELIM INFO FROM FAA OPS: OMAHA, NE/UAS INCIDENT/1730C/C-ROC ADVISED CIRRUS SR22, REPORTED AN ELLIPTICAL SHAPED, SILVER COLORED DRONE WHILE N BOUND AT 9,500 FEET 27 MILES E OF OMAHA VOR. NO EVASIVE ACTION TAKEN. LAKE COUNTY SHERIFF NOTIFIED.",43.40809758923565,-72.91530943206124,9500,HARRIS,AIRPORT,1730C,2020-07-06 23:30:00,1500.0,CHUGS INT AND BY NOTAM 123.75,5486.4,5486.4,
2020-08-15,CALIFORNIA,PALMDALE,"PRELIM INFO FROM FAA OPS: PALMDALE, CA/UAS INCIDENT/1010P/JOSHUA CONTROL FACILITY ADVISED CESSNA C210,  REPORTED A GRAY UAS AT 7,500 FEET 14 W PALMDALE. NO EVASIVE ACTION TAKEN. LOS ANGELES COUNTY SHERIFF NOTIFIED.",41.2746804823795,-73.44234743095585,7500,ITT,HELIPORT,1010P,2020-08-15 07:10:00,,,,,
2020-09-14,LOUISIANA,MONROE,"PRELIM INFO FROM FAA OPS: MONROE, LA/UAS INCIDENT/1348C/C-ROC ADVISED CESSNA C172, REPORTED WHITE UAS 1,000 FEET BELOW WHILE E BOUND 10 NE MONROE. NO EVASIVE ACTION TAKEN.  MONROE ARPT PD NOTIFIED.",32.620558201629,-91.97668306356547,100,,,1348C,2020-09-14 19:48:00,,,,,
2020-02-21,TEXAS,AUSTIN,"PRELIM INFO FROM FAA OPS: AUSTIN, TX/UAS INCIDENT/1603C/AUSTIN APCH ADVISED BEECH BE36, REPORTED A BLACK UAS AT SAME ALTITUDE WHILE S BOUND AT 2,500 FEET 13 W AUSTIN. NO EVASIVE ACTION REPORTED. AUSTIN PD NOTIFIED.",30.03137712000388,-96.6682370177358,2500,3 BARREL RANCH,AIRPORT,1603C,2020-02-21 22:03:00,,,,,
2021-10-13,TEXAS,LAREDO,"PRELIM INFO FROM FAA OPS: LAREDO, TX/UAS INCIDENT/1421C/LAREDO ATCT REPORTED A LARGE UAS AT 500 FEET 1 E LAREDO. NO IMPACT TO OPERATIONS OR ACFT. ARPT OPS NOTIFIED.",39.33344190692538,-76.06152326405146,500,HARRIS,AIRPORT,1421C,2021-10-13 20:21:00,,,,,
2021-11-10,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS INCIDENT/1623M/LUKE AFB ADVISED , 2/F35, REPORTED A QUADCOPTER UAS WHILE NE BOUND AT 8,500 FEET 35 SSW GLENDALE. NO EVASIVE ACTION TAKEN. MARICOPA COUNTY SHERIFF NOTIFIED.",34.3192151596015,-86.82702500266656,8500,HUNTSVILLE EXEC TOM SHARP JR FLD,AIRPORT,1623M,2021-11-11 04:23:00,,,,,
2021-11-22,DELAWARE,DOVER,"PRELIM INFO FROM FAA OPS: DOVER, DE/UAS INCIDENT/1638E/DOVER APCH ADVISED , CESSNA COL4, UNKN - UNKN, REPORTED ORANGE UAS FROM THE RIGHT SIDE WHILE SW BOUND AT 4,000 FEET 7 NE DOVER. NO EVASIVE ACTION TAKEN. DOVER PD NOTIFIED.",60.625811802215765,-145.558399421279,4000,CORDOVA MUNI,AIRPORT,1638E,2021-11-22 21:38:00,,,,,
2024-09-03,WEST VIRGINIA,CLARKSBURG,"PRELIM INFO FROM FAA OPS: CLARKSBURG, WV/UAS SIGHTING/1015E/CLARKSBURG TOWER ADVISED, CESSNA C172, REPORTED UAS FROM 3 Oâ€™CLOCK POSITION WHILE S BOUND AT 1,900 FEET 3 S CLARKSBURG. NO EVASIVE ACTION TAKEN. BRIDGEPORT PD NOTIFIED.",30.443928464104,-81.6878466666667,1900,JACKSONVILLE INTL,AIRPORT,1015E,2024-09-03 15:15:00,511.0,JACKSONVILLE INTERNATIONAL AIRPORT CLASS C,1219.2,1219.2,C
2024-09-21,MISSISSIPPI,COLUMBUS/W POINT/STARKVILLE,"PRELIM INFO FROM FAA OPS: COLUMBUS-W POINT-STARKVILLE, MS/UAS SIGHTING/1216C/ADVISED , EUROCOPTER EC145, REPORTED A BLACK UAS AT THE 6 O'CLOCK POSITION WHILE SW BOUND AT 2,500 FEET 3 SW GOLDEN TRIANGLE RGNL ARPT. NO EVASIVE ACTION TAKEN. LEO NOTIFIED.",42.331844263635624,-83.01516728105341,2500,DETROIT BORDER PATROL,HELIPORT,1216C,2024-09-21 18:16:00,88.0,DETROIT CLASS B AREA C,3048.0,3048.0,B
2024-09-21,INDIANA,GARY/CHICAGO,"PRELIM INFO FROM FAA OPS: GARY-CHICAGO, IN/UAS SIGHTING/1451C/GARY FTC ADVISED, BEECHCRAFT BE36, REPORTED A SMALL, GREEN UAS WHILE N BOUND AT 3,000 FEET 5 S GARY. NO EVASIVE ACTION TAKEN. LAKE COUNTY SHERIFF NOTIFIED.",32.40191701119415,-91.7710663888889,3000,JOHN H HOOKS JR MEML,AIRPORT,1451C,2024-09-21 20:51:00,,,,,
2022-07-12,ILLINOIS,AURORA,"PRELIM INFO FROM FAA OPS: AURORA, IL/UAS SIGHTING/1522E/AURORA ATCT REPORTED, PIPER P28A, OBSERVED A UAS WHILE SOUTHBOUND AT 1,200 FEET, 1 S AURORA. NO EVASIVE ACTION TAKEN. MARION COUNTY SHERIFF NOTIFIED.",43.30470793642384,-89.3209497222222,120,DEL MONTE,AIRPORT,1522E,2022-07-12 20:22:00,541.0,MADISON DANE COUNTY REGIONAL AIRPORT-TRUAX FIELD CLASS C,1493.52,1493.52,C
