,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude
21,4/4/2022,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/1334M/PHOENIX TRACON ADVISED, CRJ9, CALGARY, CANADA (CYYC) - PHX, REPORTED A GREEN UAS FROM THE 3 O'CLOCK WHILE E BOUND AT 7,000 FEET 7 WSW PHOENIX VOR. NO EVASIVE ACTION TAKEN. PHOENIX ARPT PD NOTIFIED. WOC 7-3333 RC/MK",,PHX,E BOUND,1334M,PHOENIX TRACON,"CALGARY, CANADA (CYYC) - PHX",7 WSW PHOENIX VOR,"AT 7,000 FEET"
22,4/4/2022,CALIFORNIA,SAN DIEGO,"PRELIM INFO FROM FAA OPS: SAN DIEGO, CA/UAS INCIDENT/1640P/SAN DIEGO ATCT ADVISED, B737, OAK - SAN, OBSERVED A WHITE UAS OFF THE LEFT SIDE WHILE W BOUND AT 400 FEET .5 E SAN. NO EVASIVE ACTION WAS TAKEN. SAN DIEGO AIRPORT PD NOTIFIED. WOC 7-3333 EF/RL",,SAN,W BOUND,1640P,SAN DIEGO ATCT,OAK - SAN,,AT 400 FEET
23,4/5/2022,FLORIDA,TAMPA,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS INCIDENT/1410E/TAMPA ATCT ADVISED, E170, BNA - TPA, REPORTED A QUAD-COPTER UAS AT THE 3 O'CLOCK POSITION WHILE S BOUND AT 2,000 FEET NO EVASIVE ACTION TAKEN. FBI NOTIFIED. WOC 7-3333 HM/JO",,TPA,S BOUND,1410E,TAMPA ATCT,BNA - TPA,,"AT 2,000 FEET"
24,4/5/2022,PENNSYLVANIA,PHILADELPHIA,"PRELIM INFO FROM FAA OPS: PHILADELPHIA, PA/UAS INCIDENT/1715E/PHILADELPHIA APCH ADVISED, CRJ9, JAX - PHL, REPORTED AN ORANGE UAS OFF THE RIGHT SIDE WHILE S BOUND AT 4,000 FEET 6 NW PHL. NO EVASIVE ACTION TAKEN. AIRPORT PD NOTIFIED. WOC 7-3333 JO/JW",,OFF,S BOUND,1715E,PHILADELPHIA APCH,JAX - PHL,6 NW PHL,"AT 4,000 FEET"
25,4/5/2022,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1555P/LOS ANGELES ATCT ADVISED, B738, AUS - LAX, REPORTED UAS ON LEFT SIDE AT 1,800 FEET WHILE WSW BOUND 6 ENE LAX. NO EVASIVE ACTION TAKEN. LAX ARPT PD NOTIFIED. WOC 7-3333 RL/SY",,AUS,WSW BOUND,1555P,LOS ANGELES ATCT,AUS - LAX,6 ENE LAX,"AT 1,800 FEET"
26,4/6/2022,OREGON,PORTLAND,"PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS INCIDENT/0845P/PORTLAND TRACON ADVISED, ATR AT72, PDX - MFR, REPORTED A UAS FROM THE 1 O'CLOCK POSITION WHILE S BOUND AT 8,000 FEET 10 SW PDX. NO EVASIVE ACTION TAKEN. PORT OF PORTLAND PD NOTIFIED. WOC 7-3333 JF/JO",,MFR,S BOUND,0845P,PORTLAND TRACON,PDX - MFR,10 SW PDX,"AT 8,000 FEET"
27,4/6/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1215E/MIAMI TRACON ADVISED, CESSNA C560,  TMB - TORONTO, CANADA (CYYZ), REPORTED A UAS OFF THE LEFT SIDE WHILE W BOUND AT 3,000 FEET 6 W TMB. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED. WOC 7-3333 JO/HM",,OFF,W BOUND,1215E,MIAMI TRACON," TMB - TORONTO, CANADA (CYYZ)",6 W TMB,"AT 3,000 FEET"
28,4/6/2022,UTAH,SALT LAKE CITY,"PRELIM INFO FROM FAA OPS: SALT LAKE CITY, UT/UAS INCIDENT/1023M/SLC ATCT ADVISE, BCS1, SNA - SLC, REPORTED A WHITE QUAD-COPTER UAS 200 FEET BELOW AND OFF THE RIGHT SIDE OF THE ACFT, WHILE N BOUND AT 5,200 FEET 3 MILE FINAL RUNWAY 35. NO EVASIVE ACTION TAKEN. SLC ARPT PD NOTIFIED. WOC 7-3333 HM/JO",,SNA,N BOUND,1023M,,SNA - SLC,,"AT 5,200 FEET"
29,4/6/2022,NORTH CAROLINA,GOLDSBORO,"PRELIM INFO FROM FAA OPS: GOLDSBORO, NC/UAS INCIDENT/1450E/GOLDSBORO ATCT ADVISED, B762, GSB - GSB, REPORTED A BLACK QUADCOPTER UAS 2,000 FEET BELOW ACFT WHILE SW BOUND AT 3,000 FEET 2 NE GSB. NO EVAISVE ACTION TAKEN. GSB ARPT PD NOTIFIED. WOC 7-3333 JO/HM",,GSB,SW BOUND,1450E,GOLDSBORO ATCT,GSB - GSB,2 NE GSB,"AT 3,000 FEET"
30,4/6/2022,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/1620E/JF KENNEDY ATCT ADVISED, B752, SLC - JFK, REPORTED A QUAD-COPTER UAS WHILE N BOUND AT 300 FEET SHORT FINAL RUNWAY 4R. NO EVASIVE ACTION TAKEN. NEW YORK PORT AUTHORITY NOTIFIED. WOC 7-3333 HM/JO",,SLC,N BOUND,1620E,JF KENNEDY ATCT,SLC - JFK,,AT 300 FEET
31,4/6/2022,LOUISIANA,MONROE,"PRELIM INFO FROM FAA OPS: MONROE, LA/UAS INCIDENT/1615C/MONROE ATCT ADVISED, BELL B06, REPORTED A WHITE UAS 300 FEET BELOW ACFT WHILE E BOUND AT 1,200 FEET 5 WSW MLU. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 HM/JO",,B06,E BOUND,1615C,MONROE ATCT,,5 WSW MLU,"AT 1,200 FEET"
32,4/6/2022,FLORIDA,DAYTONA BEACH,"PRELIM INFO FROM FAA OPS: DAYTONA BEACH, FL/UAS INCIDENT/1851E/DAYTONA BEACH ATCT ADVISED, CESSNA C172, DAB - DAB, REPORTED A WHITE UAS WHILE N BOUND AT 2,800 FEET 3 SE DAB. ACFT TURNED RIGHT TO AVOID UAS. VOLUSIA COUNTY SHERIFF NOTIFIED. WOC 7-3333 TB/SY",,DAB,N BOUND,1851E,DAYTONA BEACH ATCT,DAB - DAB,3 SE DAB,"AT 2,800 FEET"
34,4/6/2022,CALIFORNIA,OAKLAND,"PRELIM INFO FROM FAA OPS: OAKLAND, CA/UAS INCIDENT/1741P/NORCAL TRACON ADVISED, CESSNA C208, O69 - OAK, REPORTED UAS FROM THE 6 O'CLOCK POSITION WHILE SE BOUND AT 3,500 FEET 10 NW OAK. NO EVASIVE ACTION TAKEN. RICHMOND PD NOTIFIED. WOC 7-3333 JG/ER",,O69,SE BOUND,1741P,NORCAL TRACON,,10 NW OAK,"AT 3,500 FEET"
35,4/7/2022,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/1418C/NASHVILLE ATCT ADVISED, CESSNA C680, APF - BNA, OBSERVED A RED AND SILVER UAS WHILE NORTHWEST BOUND AT 10,500 FEET 22 SE NASHVILLE. NO EVASIVE ACTION. RUTHERFORD COUNTY SHERIFF NOTIFIED. WOC 7-3333 GG/JF",,APF,NORTHWEST BOUND,1418C,NASHVILLE ATCT,APF - BNA,22 SE NASHVILLE,"AT 10,500 FEET"
36,4/8/2022,NORTH CAROLINA,COFIELD,"PRELIM INFO FROM FAA OPS: COFIELD, NC/UAS INCIDENT/1141E/NORFOLK APCH ADVISED , A320, ATL - ORF, REPORTED A RED AND BLACK UAS OFF THE RIGHT SIDE 300 FEET ABOVE ACFT WHILE NE BOUND AT 14,000 FEET OVER COFIELD VORTAC (CVI). NO EVASIVE ACTION TAKEN. AHOSKIE PD NOTIFIED. WOC 7-3333 JO/RC",,ORF,NE BOUND,1141E,NORFOLK APCH,ATL - ORF,,"AT 14,000 FEET"
37,4/8/2022,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS INCIDENT/1120M/GLENDALE FCT ADVISED, CESSNA C172, REPORTED A UAS 400 FEET BELOW ACFT WHILE N BOUND AT 700 FEET 1 S GEU. NO EVASIVE ACTION TAKEN. PHOENIX PD NOTIFIED. WOC 7-3333 JO/EC",,GEU,N BOUND,1120M,GLENDALE FCT,,1 S GEU,AT 700 FEET
38,4/8/2022,NEW JERSEY,ATLANTIC CITY,"PRELIM INFO FROM FAA OPS: ATLANTIC CITY, NJ/UAS INCIDENT/1230E/ATLANTIC CITY ATCT, REPORTED THE AIR NATIONAL GUARD DETECTION SYSTEM DETECTED A UAS 2 NE ACY. GALLOWAY TOWNSHIP PD NOTIFIED. WOC 7-3333 JO/EC",,ACY,,1230E,,,2 NE ACY,
39,4/8/2022,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1314E/ORLANDO APCH ADVISED, A319, BDL - MCO, REPORTED A SILVER UAS 700 FEET BELOW THE 12 O'CLOCK POSITION WHILE S BOUND AT 7,000 FEET 5 ENE MCO. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED. WOC 7-3333 RC/JO",,MCO,S BOUND,1314E,ORLANDO APCH,BDL - MCO,5 ENE MCO,"AT 7,000 FEET"
40,4/8/2022,IOWA,CEDAR RAPIDS,"PRELIM INFO FROM FAA OPS: CEDAR RAPIDS, IA/UAS INCIDENT/1400C/CEDAR RAPIDS APCH ADVISED, CRJ2, MSP - CID, REPORTED A WHITE QUADCOPTER UAS AT THE 12 O'CLOCK POSITION WHILE SE BOUND AT 2,000 FEET 7 SE CID. NO EVASIVE ACTION TAKEN. JOHNSON CITY PD NOTIFIED. WOC 7-3333 JO/RC",,CID,SE BOUND,1400C,CEDAR RAPIDS APCH,MSP - CID,7 SE CID,"AT 2,000 FEET"
41,4/8/2022,SOUTH DAKOTA,SIOUX FALLS,"SIOUX FALLS, SD (FSD): FSD TOWER REPORTED A DRONE HALF MILE SOUTHEAST OF AIRPORT HOVERING AT 200 AGL OVER THE STATE PRISON. TSA CONTACTED AND INVESTIGATED. 04/08/2022 1933Z",,AND,,,,,,
42,4/8/2022,CALIFORNIA,FRESNO,"PRELIM INFO FROM FAA OPS: FRESNO, CA/UAS INCIDENT/1342P/FRESNO APCH ADVISED, A320, FAT - DEN, REPORTED A UAS 500 FEET BELOW ACFT WHILE N BOUND AT 5,000 FEET 4 N FAT. NO EVASIVE ACTION TAKEN. CLOVIS PD NOTIFIED. WOC 7-3333 JO/RC",,DEN,N BOUND,1342P,FRESNO APCH,FAT - DEN,4 N FAT,"AT 5,000 FEET"
43,4/8/2022,ARIZONA,MESA,"PRELIM INFO FROM FAA OPS: MESA, AZ/UAS INCIDENT/1539M/FALCON FIELD ATCT ADVISED, STINSON S108, REPORTED A UAS FROM THE 2 O'CLOCK POSITION WHILE E BOUND AT 3,000 FEET 3 SE FFZ. NO EVASIVE ACTION TAKEN. MESA PD NOTIFIED. WOC 7-3333 TB/JG",,FFZ,E BOUND,1539M,FALCON FIELD ATCT,,3 SE FFZ,"AT 3,000 FEET"
44,4/9/2022,CALIFORNIA,SAN JOSE,"PRELIM INFO FROM FAA OPS: SAN JOSE, CA/UAS INCIDENT/1040P/SAN JOSE ATCT ADVISED, E75L, LAX - SJC, REPORTED  A WHITE DJI PHANTOM QUADCOPTER AT 1,200 FEET WHILE ON 3 MILE FINAL. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION REPORTED. WOC 7-3333 EC/MK",,SJC,,1040P,SAN JOSE ATCT,LAX - SJC,,"AT 1,200 FEET"
45,4/9/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1445E/MIAMI EXECUTIVE ATCT ADVISED, PIPER PA34, REPORTED A RED AND WHITE UAS  AND A BLUE RADIO CONTROLLED HELICOPTER 4 SW TMB.  CLOSEST  PROXIMITY TO REMOTE CONTROLLED HELO WAS 50 FEET. NO EVASIVE ACTION REPORTED. MIAMI-DADE PD WAS NOTIFIED. NO PHONE NUMBER WAS PROVIDED . WOC 7-3333 EC/MK",,TMB,,1445E,MIAMI EXECUTIVE ATCT,,4 SW TMB,
46,4/9/2022,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/1355C/D10 TRACON ADVISED, PIPER PA28, REPORTED A UAS OFF THE DEPARTURE END OF RWY16. NO EVASIVE ACTION REPORTED. NO DESCRIPTION AVAILABLE. DFW DPS NOTIFIED. WOC 7-3333 MK/EC",,END,,1355C,,,,
47,4/9/2022,NORTH CAROLINA,CHARLOTTE,"PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS INCIDENT/1627E/CHARLOTTE ATCT ADVISED, CRJ9, REPORTED A UAS OF UNSPECIFIED SIZE AND COLOR AT 4,000 FEET ON RIGHT SIDE OF AIRCRAFT WHILE NW BOUND 12 SE CLT. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION WAS NOT REPORTED. WOC 7-3333 EC/MK",,AND,NW BOUND,1627E,CHARLOTTE ATCT,,12 SE CLT,"AT 4,000 FEET"
48,4/9/2022,ILLINOIS,NORMAL,"PRELIM INFO FROM FAA OPS: BLOOMINGTON/NORMAL, IL/UAS INCIDENT/1645C/CHICAGO ARTCC ADVISED, PIPER PA27, JWN - EFT, REPORTED SHINY RED UAS 200 FEET BELOW ACFT WHILE NE BOUND AT 10,500 FEET 10 NE BLOOMINGTON. NO EVASIVE ACTION REPORTED. PILOT STATED UAS MAY BE A BALLOON. BLOOMINGTON PD NOTIFIED. WOC 7-3333 DJ/ER",,EFT,NE BOUND,1645C,CHICAGO ARTCC,JWN - EFT,10 NE BLOOMINGTON,"AT 10,500 FEET"
49,4/9/2022,TEXAS,SAN ANTONIO,"PRELIM INFO FROM FAA OPS: SAN ANTONIO, TX/UAS INCIDENT/1701C/SAN ANTONIO TRACON ADVISED, BEECH BE40, HOU - SAT, REPORTED A BLUE UAS FROM THE 9 O'CLOCK POSITION WHILE SW BOUND AT 2,500 FEET 4 SSW SAT. NO EVASIVE ACTION REPORTED. SAN ANTONIO PD NOTIFIED. WOC 7-3333 JG/ER",,HOU,SW BOUND,1701C,SAN ANTONIO TRACON,HOU - SAT,4 SSW SAT,"AT 2,500 FEET"
50,4/9/2022,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/1700C/HOUSTON TRACON ADVISED, E145, IAH - LFT, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 13,000 FEET 20 E IAH. NO EVASIVE ACTION TAKEN. BAYTOWN PD NOTIFIED. WOC 7-3333 TB/JG",,LFT,E BOUND,1700C,HOUSTON TRACON,IAH - LFT,20 E IAH,"AT 13,000 FEET"
51,4/9/2022,CALIFORNIA,MODESTO,"PRELIM INFO FROM FAA OPS: MODESTO, CA/UAS INCIDENT/2136P/NORCAL TRACON ADVISED, B738, RSW - SFO, REPORTED A UAS AT THE 12 O'CLOCK POSITION WHILE WSW BOUND AT 15,000 FEET 16 WSW MODESTO. NO EVASIVE ACTION REPORTED. PILOT STATED THE OBJECT COULD HAVE BEEN A BALLOON. LEO NOTIFICATION NOT PROVIDED. WOC 7-3333 DJ/ER",,SFO,WSW BOUND,2136P,NORCAL TRACON,RSW - SFO,16 WSW MODESTO,"AT 15,000 FEET"
53,4/10/2022,DISTRICT OF COLUMBIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1144E/POTOMAC TRACON ADVISED, C37, ADW - BLV, REPORTED A YELLOW UAS ON LEFT SIDE AT 4,500 FEET WHILE W BOUND 4 E DCA. NO EVASIVE ACTION TAKEN. PRINCE GEORGE'S COUNTY PD NOTIFIED. WOC 7-3333 RL/SY",,DCA,W BOUND,1144E,POTOMAC TRACON,ADW - BLV,4 E DCA,"AT 4,500 FEET"
54,4/10/2022,PUERTO RICO,SAN JUAN,"PRELIM INFO FROM FAA OPS: SAN JUAN, PUERTO RICO/UAS INCIDENT/1345L/SAN JUAN ATCT ADVISED, CESSNA C172, REPORTED UAS WHILE E BOUND AT 2,000 FEET 2 E SAN JUAN. NO EVASIVE ACTION TAKEN. SAN JUAN PD NOTIFIED. NUMBER NOT PROVIDED. WOC 7-3333 RL/SY",,SAN,E BOUND,1345L,SAN JUAN ATCT,,2 E SAN JUAN,"AT 2,000 FEET"
